C28992R100;score
E1265N4817;-17,08
E1266N4817;-28,93
E1267N4817;-32,17
E1268N4817;-22,35
E1269N4817;-8,70
E1270N4817;-1,04
E1271N4817;-0,27
E1187N4818;-2,07
E1188N4818;-4,83
E1189N4818;-4,83
E1190N4818;-4,83
E1191N4818;-2,07
E1195N4818;-3,55
E1196N4818;-3,55
E1197N4818;-3,55
E1205N4818;-0,54
E1206N4818;-1,80
E1207N4818;-2,07
E1208N4818;-2,07
E1209N4818;-0,81
E1212N4818;-0,14
E1213N4818;-0,32
E1214N4818;-0,32
E1215N4818;-0,32
E1216N4818;-0,14
E1245N4818;-2,86
E1246N4818;-8,35
E1247N4818;-8,35
E1248N4818;-8,35
E1249N4818;-2,86
E1254N4818;-2,32
E1255N4818;-5,43
E1256N4818;-5,43
E1257N4818;-5,43
E1258N4818;-2,32
E1260N4818;-0,35
E1261N4818;-0,80
E1262N4818;-1,15
E1263N4818;-0,80
E1264N4818;-2,66
E1265N4818;-14,32
E1266N4818;-23,86
E1267N4818;-26,79
E1268N4818;-19,88
E1269N4818;-8,43
E1270N4818;-1,04
E1271N4818;-0,27
E1188N4819;-2,07
E1189N4819;-2,07
E1190N4819;-2,21
E1191N4819;-0,14
E1192N4819;-0,14
E1194N4819;-3,55
E1195N4819;-10,82
E1196N4819;-10,82
E1197N4819;-11,90
E1198N4819;-4,64
E1199N4819;-1,08
E1200N4819;-0,41
E1201N4819;-0,41
E1202N4819;-0,81
E1203N4819;-1,52
E1204N4819;-1,52
E1205N4819;-2,93
E1206N4819;-4,38
E1207N4819;-5,28
E1208N4819;-4,01
E1209N4819;-1,71
E1210N4819;-0,27
E1213N4819;-0,14
E1214N4819;-0,14
E1215N4819;-0,14
E1246N4819;-2,86
E1247N4819;-2,86
E1248N4819;-2,86
E1255N4819;-2,32
E1256N4819;-2,32
E1257N4819;-2,32
E1260N4819;-0,35
E1261N4819;-0,80
E1262N4819;-0,80
E1263N4819;-0,80
E1264N4819;-0,35
E1265N4819;-4,43
E1266N4819;-11,99
E1267N4819;-12,39
E1268N4819;-10,35
E1269N4819;-3,14
E1270N4819;-0,62
E1271N4819;-0,35
E1163N4820;-0,48
E1164N4820;-0,48
E1165N4820;-0,48
E1189N4820;-0,54
E1190N4820;-0,72
E1191N4820;-0,72
E1192N4820;-0,32
E1193N4820;-0,14
E1194N4820;-6,08
E1195N4820;-14,63
E1196N4820;-19,26
E1197N4820;-17,15
E1198N4820;-8,60
E1199N4820;-3,20
E1200N4820;-2,30
E1201N4820;-1,62
