C28992R100;score
E1210N4826;-1,48
E1211N4826;-1,66
E1212N4826;-2,15
E1213N4826;-1,43
E1214N4826;-1,26
E1215N4826;-1,12
E1216N4826;-0,48
E1225N4826;-0,67
E1226N4826;-0,67
E1227N4826;-0,67
E1187N4827;-0,29
E1188N4827;-0,66
E1189N4827;-0,95
E1190N4827;-0,66
E1191N4827;-0,29
E1194N4827;-1,89
E1195N4827;-4,41
E1196N4827;-6,52
E1197N4827;-4,94
E1198N4827;-4,48
E1199N4827;-6,72
E1200N4827;-15,71
E1201N4827;-31,88
E1202N4827;-46,29
E1203N4827;-43,19
E1204N4827;-26,69
E1205N4827;-9,38
E1206N4827;-1,26
E1210N4827;-0,14
E1211N4827;-0,32
E1212N4827;-0,45
E1213N4827;-1,14
E1214N4827;-0,96
E1215N4827;-0,83
E1224N4827;-0,67
E1225N4827;-1,58
E1226N4827;-1,58
E1227N4827;-1,86
E1228N4827;-0,96
E1229N4827;-0,29
E1187N4828;-0,29
E1188N4828;-0,66
E1189N4828;-0,66
E1190N4828;-0,66
E1191N4828;-0,29
E1194N4828;-1,89
E1195N4828;-4,41
E1196N4828;-4,41
E1197N4828;-4,64
E1198N4828;-4,19
E1199N4828;-6,02
E1200N4828;-17,02
E1201N4828;-32,30
E1202N4828;-38,56
E1203N4828;-36,34
E1204N4828;-25,43
E1205N4828;-9,38
E1206N4828;-1,26
E1210N4828;-0,14
E1211N4828;-0,32
E1212N4828;-0,66
E1213N4828;-1,12
E1214N4828;-0,94
E1215N4828;-0,80
E1216N4828;-0,35
E1224N4828;-0,67
E1225N4828;-1,58
E1226N4828;-2,54
E1227N4828;-2,24
E1228N4828;-1,34
E1229N4828;-0,66
E1230N4828;-0,29
E1159N4829;-0,29
E1160N4829;-0,29
E1161N4829;-0,29
E1188N4829;-0,29
E1189N4829;-0,29
E1190N4829;-0,29
E1193N4829;-0,29
E1194N4829;-0,96
E1195N4829;-2,85
E1196N4829;-2,56
E1197N4829;-1,89
E1198N4829;-2,07
E1199N4829;-5,79
E1200N4829;-7,21
E1201N4829;-14,72
E1202N4829;-18,40
E1203N4829;-16,31
E1204N4829;-7,83
E1205N4829;-1,26
E1211N4829;-0,14
E1212N4829;-0,48
E1213N4829;-0,94
E1214N4829;-1,15
E1215N4829;-0,80
E1216N4829;-0,35
E1224N4829;-0,67
E1225N4829;-1,58
E1226N4829;-1,86
E1227N4829;-2,24
E1228N4829;-1,63
E1229N4829;-0,66
E1230N4829;-0,29
E1158N4830;-0,29
E1159N4830;-0,66
E1160N4830;-0,66
E1161N4830;-0,66
E1162N4830;-0,29
E1182N4830;-0,14
E1183N4830;-0,14
E1184N4830;-0,14
E1192N4830;-0,29
E1193N4830;-1,34
E1194N4830;-2,24
E1195N4830;-4,27
E1196N4830;-3,89
E1197N4830;-2,70
E1199N4830;-2,07
E1200N4830;-3,03
E1201N4830;-3,17
E1202N4830;-1,10
E1203N4830;-0,14
E1206N4830;-0,51
E1207N4830;-0,51
E1208N4830;-0,51
E1212N4830;-0,35
E1213N4830;-0,80
E1214N4830;-0,80
E1215N4830;-0,80
E1216N4830;-0,35
E1225N4830;-0,67
E1226N4830;-0,96
E1227N4830;-1,34
E1228N4830;-0,66
E1229N4830;-0,66
E1230N4830;-0,63
E1231N4830;-0,35
E1232N4830;-0,35
E1158N4831;-0,29
E1159N4831;-0,66
E1160N4831;-0,95
E1161N4831;-0,66
E1162N4831;-0,29
E1181N4831;-0,14
E1182N4831;-0,32
E1183N4831;-0,32
E1184N4831;-0,32
E1185N4831;-0,14
E1192N4831;-0,29
E1193N4831;-1,34
E1194N4831;-4,55
E1195N4831;-7,64
E1196N4831;-6,72
E1197N4831;-6,22
E1198N4831;-3,07
E1199N4831;-2,66
E1200N4831;-1,97
E1201N4831;-1,74
E1205N4831;-0,51
E1206N4831;-1,19
E1207N4831;-1,19
E1208N4831;-1,19
E1209N4831;-0,51
E1213N4831;-0,35
E1214N4831;-0,35
E1215N4831;-0,35
E1227N4831;-0,29
E1228N4831;-0,29
E1229N4831;-0,63
E1230N4831;-0,80
E1231N4831;-0,80
E1232N4831;-0,80
E1233N4831;-0,35
E1158N4832;-0,29
E1159N4832;-0,66
E1160N4832;-0,66
E1161N4832;-2,69
E1162N4832;-2,31
E1163N4832;-2,03
E1181N4832;-0,14
E1182N4832;-0,32
E1183N4832;-0,45
E1184N4832;-0,32
E1185N4832;-0,14
E1192N4832;-0,29
E1193N4832;-1,34
E1194N4832;-4,27
E1195N4832;-7,10
E1196N4832;-10,74
E1197N4832;-10,29
E1198N4832;-9,18
E1199N4832;-8,45
E1200N4832;-5,77
E1201N4832;-4,56
E1202N4832;-1,74
E1205N4832;-0,51
E1206N4832;-1,19
E1207N4832;-1,70
E1208N4832;-1,19
E1209N4832;-0,51
E1214N4832;-0,14
E1215N4832;-0,14
E1216N4832;-0,14
E1229N4832;-0,35
E1230N4832;-0,80
E1231N4832;-1,15
E1232N4832;-3,01
E1233N4832;-2,55
E1234N4832;-2,20
E1159N4833;-0,29
E1160N4833;-2,31
E1161N4833;-5,01
E1162N4833;-4,73
E1163N4833;-4,73
E1164N4833;-2,03
E1181N4833;-0,14
E1182N4833;-0,32
E1183N4833;-0,32
E1184N4833;-0,32
E1185N4833;-0,14
E1193N4833;-0,29
E1194N4833;-2,99
E1195N4833;-6,94
E1196N4833;-10,65
E1197N4833;-13,64
E1198N4833;-14,10
E1199N4833;-13,90
E1200N4833;-11,08
E1201N4833;-6,43
E1202N4833;-2,01
E1205N4833;-0,51
E1206N4833;-1,19
E1207N4833;-1,19
E1208N4833;-1,19
E1209N4833;-0,51
E1213N4833;-1,08
E1214N4833;-1,26
E1215N4833;-1,26
E1216N4833;-0,32
E1217N4833;-0,14
E1219N4833;-0,14
E1220N4833;-0,14
E1221N4833;-0,27
E1222N4833;-0,14
E1223N4833;-0,14
E1229N4833;-0,35
E1230N4833;-0,80
E1231N4833;-3,01
E1232N4833;-5,95
E1233N4833;-5,49
E1234N4833;-5,15
E1235N4833;-2,49
E1236N4833;-0,29
E1237N4833;-0,29
E1160N4834;-2,03
E1161N4834;-4,73
E1162N4834;-6,75
E1163N4834;-4,73
E1164N4834;-2,03
E1182N4834;-0,14
E1183N4834;-0,14
E1184N4834;-0,14
E1195N4834;-3,28
E1196N4834;-7,27
E1197N4834;-11,93
E1198N4834;-14,30
E1199N4834;-17,05
E1200N4834;-12,75
E1201N4834;-9,58
E1202N4834;-3,30
E1206N4834;-0,51
E1207N4834;-0,51
E1208N4834;-0,51
E1212N4834;-4,55
E1213N4834;-5,94
E1214N4834;-6,12
E1215N4834;-2,66
E1216N4834;-1,26
E1217N4834;-0,14
E1218N4834;-0,14
E1219N4834;-0,32
E1220N4834;-0,45
E1221N4834;-0,63
E1222N4834;-0,45
E1223N4834;-0,32
E1224N4834;-0,14
E1227N4834;-0,35
E1228N4834;-0,35
E1229N4834;-0,35
E1230N4834;-0,35
E1231N4834;-2,55
E1232N4834;-5,49
E1233N4834;-7,35
E1234N4834;-5,43
E1235N4834;-2,87
E1236N4834;-0,66
E1237N4834;-0,66
E1238N4834;-0,29
E1160N4835;-2,03
E1161N4835;-4,73
E1162N4835;-4,73
E1163N4835;-4,73
E1164N4835;-2,03
E1179N4835;-0,86
E1180N4835;-0,86
E1181N4835;-0,86
E1186N4835;-0,35
E1187N4835;-0,35
E1188N4835;-0,35
E1195N4835;-1,13
E1196N4835;-4,38
E1197N4835;-7,73
E1198N4835;-14,47
E1199N4835;-18,83
E1200N4835;-15,87
E1201N4835;-9,20
E1202N4835;-2,99
E1211N4835;-3,60
E1212N4835;-9,88
E1213N4835;-11,28
E1214N4835;-12,75
E1215N4835;-6,47
E1216N4835;-1,61
E1217N4835;-0,14
E1218N4835;-0,14
E1219N4835;-0,32
E1220N4835;-0,59
E1221N4835;-0,63
E1222N4835;-0,59
E1223N4835;-0,32
E1224N4835;-0,14
E1226N4835;-0,35
E1227N4835;-0,80
E1228N4835;-0,80
E1229N4835;-0,80
E1230N4835;-0,35
E1231N4835;-2,20
E1232N4835;-5,15
E1233N4835;-5,15
E1234N4835;-5,43
E1235N4835;-2,87
E1236N4835;-0,95
E1237N4835;-0,66
E1238N4835;-0,29
E1246N4835;-2,32
E1247N4835;-2,32
E1248N4835;-2,32
E1161N4836;-2,03
E1162N4836;-2,03
E1163N4836;-2,03
E1178N4836;-0,86
E1179N4836;-1,99
E1180N4836;-1,99
E1181N4836;-1,99
E1182N4836;-0,86
E1185N4836;-0,35
E1186N4836;-0,80
E1187N4836;-0,80
E1188N4836;-0,80
E1189N4836;-0,35
E1196N4836;-1,40
E1197N4836;-6,61
E1198N4836;-14,14
E1199N4836;-17,27
E1200N4836;-16,72
E1201N4836;-10,48
E1202N4836;-2,99
E1210N4836;-0,35
E1211N4836;-4,48
E1212N4836;-10,95
E1213N4836;-15,81
E1214N4836;-12,80
E1215N4836;-7,28
E1216N4836;-1,89
E1217N4836;-0,35
E1218N4836;-0,14
E1219N4836;-0,32
E1220N4836;-0,45
E1221N4836;-0,63
E1222N4836;-3,42
E1223N4836;-3,28
E1224N4836;-3,10
E1226N4836;-0,35
E1227N4836;-0,80
E1228N4836;-1,15
E1229N4836;-0,80
E1230N4836;-0,35
E1232N4836;-2,20
E1233N4836;-2,20
E1234N4836;-2,49
E1235N4836;-0,66
E1236N4836;-0,66
E1237N4836;-0,66
E1238N4836;-0,29
E1245N4836;-2,32
E1246N4836;-5,43
E1247N4836;-5,43
E1248N4836;-5,43
E1249N4836;-2,32
E1144N4837;-2,04
E1145N4837;-2,72
E1146N4837;-2,72
E1147N4837;-0,67
E1149N4837;-0,86
E1150N4837;-0,86
E1151N4837;-0,86
E1178N4837;-0,86
E1179N4837;-2,85
E1180N4837;-3,98
E1181N4837;-3,12
E1182N4837;-1,13
E1185N4837;-0,35
E1186N4837;-0,80
E1187N4837;-1,15
E1188N4837;-0,80
E1189N4837;-0,35
E1195N4837;-0,67
E1196N4837;-0,95
E1197N4837;-4,54
E1198N4837;-10,16
E1199N4837;-16,68
E1200N4837;-13,35
E1201N4837;-8,76
E1202N4837;-1,96
E1203N4837;-0,27
E1204N4837;-0,27
E1205N4837;-0,27
E1206N4837;-0,27
E1209N4837;-0,35
E1210N4837;-0,80
E1211N4837;-4,94
E1212N4837;-10,46
E1213N4837;-12,52
E1214N4837;-12,10
E1215N4837;-7,60
E1216N4837;-2,11
E1217N4837;-1,65
E1218N4837;-0,63
E1219N4837;-0,14
E1220N4837;-0,14
E1221N4837;-6,66
E1222N4837;-10,49
E1223N4837;-10,49
E1224N4837;-6,93
E1225N4837;-2,97
E1226N4837;-0,35
E1227N4837;-0,80
E1228N4837;-0,80
E1229N4837;-0,80
E1230N4837;-0,35
E1235N4837;-0,29
E1236N4837;-0,29
E1237N4837;-0,29
E1245N4837;-2,32
E1246N4837;-5,43
E1247N4837;-7,75
E1248N4837;-5,43
E1249N4837;-2,32
E1250N4837;-0,06
E1251N4837;-0,06
E1252N4837;-0,06
E1143N4838;-2,04
E1144N4838;-5,63
E1145N4838;-6,53
E1146N4838;-6,53
E1147N4838;-3,62
E1148N4838;-1,53
E1149N4838;-1,99
E1150N4838;-1,99
E1151N4838;-1,99
E1152N4838;-0,86
E1154N4838;-1,17
E1155N4838;-1,17
E1156N4838;-1,17
E1178N4838;-1,71
E1179N4838;-4,26
E1180N4838;-4,62
E1181N4838;-4,62
E1182N4838;-2,34
E1183N4838;-0,27
E1185N4838;-0,35
E1186N4838;-1,08
E1187N4838;-1,08
E1188N4838;-3,10
E1189N4838;-2,37
E1190N4838;-2,03
E1194N4838;-0,67
E1195N4838;-1,58
E1196N4838;-1,85
E1197N4838;-5,44
E1198N4838;-9,14
E1199N4838;-10,25
E1200N4838;-10,16
E1201N4838;-6,96
E1202N4838;-1,94
E1203N4838;-1,94
E1204N4838;-0,90
E1205N4838;-0,63
E1206N4838;-0,63
E1207N4838;-0,27
E1209N4838;-0,35
E1210N4838;-0,80
E1211N4838;-1,69
E1212N4838;-6,90
E1213N4838;-7,70
E1214N4838;-8,49
E1215N4838;-5,16
E1216N4838;-4,54
E1217N4838;-3,39
E1218N4838;-2,14
E1219N4838;-1,66
E1220N4838;-4,46
E1221N4838;-15,54
E1222N4838;-24,45
E1223N4838;-27,42
E1224N4838;-16,34
E1225N4838;-2,97
E1227N4838;-0,35
E1228N4838;-0,35
E1229N4838;-0,35
E1231N4838;-0,57
E1232N4838;-0,57
E1233N4838;-0,57
E1245N4838;-2,32
E1246N4838;-5,43
E1247N4838;-5,43
E1248N4838;-5,43
E1249N4838;-3,24
E1250N4838;-1,00
E1251N4838;-1,00
E1252N4838;-0,14
E1253N4838;-0,06
E1143N4839;-2,24
E1144N4839;-6,16
E1145N4839;-9,10
E1146N4839;-7,73
E1147N4839;-3,81
E1148N4839;-1,53
E1149N4839;-1,99
E1150N4839;-2,85
E1151N4839;-1,99
E1152N4839;-0,86
E1153N4839;-1,17
E1154N4839;-2,73
E1155N4839;-2,73
E1156N4839;-2,73
E1157N4839;-1,17
E1178N4839;-0,86
E1179N4839;-3,12
E1180N4839;-4,34
E1181N4839;-3,75
E1182N4839;-1,48
E1183N4839;-0,27
E1185N4839;-0,55
E1186N4839;-1,26
E1187N4839;-3,28
E1188N4839;-5,70
E1189N4839;-4,99
E1190N4839;-4,73
E1191N4839;-2,03
E1194N4839;-0,67
E1195N4839;-1,58
E1196N4839;-2,25
E1197N4839;-2,32
E1198N4839;-4,66
E1199N4839;-4,26
E1200N4839;-4,81
E1201N4839;-3,32
E1202N4839;-3,32
E1203N4839;-3,32
E1204N4839;-1,94
E1205N4839;-0,90
E1206N4839;-0,63
E1207N4839;-0,27
E1209N4839;-0,35
E1210N4839;-0,94
E1211N4839;-3,37
E1212N4839;-5,32
E1213N4839;-5,65
E1214N4839;-9,25
E1215N4839;-8,83
E1216N4839;-8,88
E1217N4839;-3,68
E1218N4839;-3,85
E1219N4839;-3,72
E1220N4839;-10,06
E1221N4839;-30,09
E1222N4839;-44,34
E1223N4839;-39,88
E1224N4839;-28,14
E1225N4839;-8,96
E1227N4839;-0,29
E1228N4839;-0,29
E1229N4839;-0,29
E1230N4839;-0,57
E1231N4839;-1,33
E1232N4839;-1,33
E1233N4839;-1,33
E1234N4839;-0,57
E1246N4839;-2,32
E1247N4839;-2,32
E1248N4839;-3,18
E1249N4839;-2,05
E1250N4839;-2,14
E1251N4839;-2,20
E1252N4839;-1,00
E1253N4839;-0,06
E1143N4840;-2,78
E1144N4840;-6,79
E1145N4840;-7,89
E1146N4840;-7,42
E1147N4840;-4,08
E1148N4840;-1,53
E1149N4840;-1,99
E1150N4840;-1,99
E1151N4840;-1,99
E1152N4840;-0,86
E1153N4840;-1,17
E1154N4840;-2,73
E1155N4840;-3,90
E1156N4840;-2,73
E1157N4840;-1,17
E1176N4840;-0,45
E1177N4840;-0,45
E1178N4840;-1,31
E1179N4840;-2,26
E1180N4840;-2,63
E1181N4840;-2,63
E1182N4840;-1,48
E1183N4840;-0,27
E1184N4840;-0,29
E1185N4840;-0,93
E1186N4840;-1,30
E1187N4840;-3,59
E1188N4840;-8,34
E1189N4840;-11,71
E1190N4840;-9,42
E1191N4840;-4,02
E1192N4840;-0,41
E1193N4840;-1,26
E1194N4840;-2,28
E1195N4840;-3,34
E1196N4840;-2,97
E1197N4840;-3,26
E1198N4840;-1,80
E1199N4840;-1,12
E1200N4840;-1,79
E1201N4840;-3,05
E1202N4840;-4,08
E1203N4840;-3,32
E1204N4840;-1,94
E1205N4840;-0,63
E1206N4840;-0,63
E1207N4840;-0,27
E1209N4840;-0,14
E1210N4840;-5,79
E1211N4840;-12,50
E1212N4840;-13,90
E1213N4840;-16,85
E1214N4840;-20,25
E1215N4840;-19,17
E1216N4840;-17,42
E1217N4840;-7,85
E1218N4840;-4,76
E1219N4840;-4,62
E1220N4840;-14,44
E1221N4840;-32,61
E1222N4840;-45,42
E1223N4840;-46,82
E1224N4840;-26,98
E1225N4840;-6,25
E1226N4840;-0,29
E1227N4840;-0,66
E1228N4840;-0,66
E1229N4840;-1,01
E1230N4840;-1,20
E1231N4840;-1,67
E1232N4840;-3,01
E1233N4840;-2,44
E1234N4840;-1,68
E1248N4840;-0,86
E1249N4840;-2,05
E1250N4840;-2,99
E1251N4840;-2,14
E1252N4840;-1,00
E1253N4840;-0,06
E1142N4841;-0,27
E1143N4841;-1,10
E1144N4841;-3,76
E1145N4841;-4,70
E1146N4841;-4,07
E1147N4841;-1,14
E1149N4841;-0,86
E1150N4841;-0,86
E1151N4841;-0,86
E1153N4841;-1,31
E1154N4841;-2,87
E1155N4841;-2,87
E1156N4841;-4,34
E1157N4841;-3,18
E1158N4841;-2,01
E1159N4841;-0,41
E1174N4841;-0,67
E1175N4841;-1,13
E1176N4841;-1,72
E1177N4841;-1,05
E1178N4841;-1,05
E1179N4841;-1,31
E1180N4841;-1,13
E1181N4841;-1,13
E1182N4841;-0,27
E1184N4841;-0,29
E1185N4841;-0,93
E1186N4841;-1,58
E1187N4841;-6,02
E1188N4841;-14,07
E1189N4841;-17,48
E1190N4841;-17,33
E1191N4841;-11,30
E1192N4841;-3,91
E1193N4841;-4,40
E1194N4841;-5,43
E1195N4841;-6,32
E1196N4841;-4,15
E1197N4841;-3,47
E1198N4841;-2,17
E1199N4841;-1,12
E1200N4841;-1,52
E1201N4841;-2,69
E1202N4841;-2,69
E1203N4841;-2,69
E1204N4841;-1,31
E1205N4841;-0,27
E1206N4841;-0,27
E1209N4841;-3,38
E1210N4841;-13,41
E1211N4841;-25,79
E1212N4841;-29,39
E1213N4841;-37,04
E1214N4841;-35,30
E1215N4841;-33,84
E1216N4841;-23,96
E1217N4841;-10,17
E1218N4841;-3,24
E1219N4841;-4,67
E1220N4841;-11,28
E1221N4841;-35,36
E1222N4841;-44,09
E1223N4841;-41,22
E1224N4841;-22,23
E1225N4841;-6,60
E1226N4841;-0,29
E1227N4841;-0,66
E1228N4841;-1,30
E1229N4841;-1,47
E1230N4841;-1,66
E1231N4841;-3,25
E1232N4841;-4,27
E1233N4841;-3,92
E1234N4841;-3,16
E1235N4841;-1,11
E1248N4841;-0,86
E1249N4841;-1,99
E1250N4841;-2,05
E1251N4841;-2,05
E1252N4841;-0,92
E1136N4842;-0,45
E1137N4842;-0,45
E1138N4842;-0,45
E1142N4842;-0,27
E1143N4842;-0,90
E1144N4842;-1,73
E1145N4842;-1,46
E1146N4842;-1,10
E1147N4842;-0,27
E1152N4842;-0,14
E1153N4842;-0,32
E1154N4842;-1,48
E1155N4842;-3,09
E1156N4842;-8,50
E1157N4842;-8,46
E1158N4842;-8,46
E1159N4842;-3,27
E1160N4842;-0,41
E1167N4842;-0,35
E1168N4842;-0,35
E1169N4842;-0,35
E1173N4842;-0,67
E1174N4842;-1,58
E1175N4842;-2,03
E1176N4842;-3,66
E1177N4842;-3,21
E1178N4842;-2,09
E1179N4842;-0,45
E1181N4842;-1,04
E1182N4842;-1,04
E1183N4842;-1,04
E1184N4842;-0,29
E1185N4842;-0,66
E1186N4842;-0,93
E1187N4842;-3,77
E1188N4842;-14,02
E1189N4842;-20,81
E1190N4842;-20,26
E1191N4842;-11,43
E1192N4842;-6,58
E1193N4842;-12,45
E1194N4842;-17,79
E1195N4842;-18,09
E1196N4842;-9,99
E1197N4842;-3,65
E1198N4842;-1,96
E1199N4842;-1,12
E1200N4842;-0,48
E1201N4842;-1,04
E1202N4842;-1,04
E1203N4842;-1,04
E1209N4842;-3,38
E1210N4842;-17,73
E1211N4842;-36,24
E1212N4842;-41,97
E1213N4842;-51,49
E1214N4842;-48,90
E1215N4842;-41,44
E1216N4842;-30,33
E1217N4842;-11,97
E1218N4842;-4,24
E1219N4842;-5,28
E1220N4842;-19,86
E1221N4842;-34,10
E1222N4842;-40,37
E1223N4842;-33,58
E1224N4842;-16,74
E1225N4842;-1,42
E1226N4842;-0,97
E1227N4842;-1,01
E1228N4842;-1,01
E1229N4842;-2,03
E1230N4842;-8,91
E1231N4842;-9,95
E1232N4842;-10,42
E1233N4842;-4,27
E1234N4842;-2,59
E1235N4842;-1,11
E1249N4842;-0,86
E1250N4842;-0,86
E1251N4842;-0,86
E1135N4843;-0,45
E1136N4843;-1,05
E1137N4843;-1,78
E1138N4843;-1,78
E1139N4843;-1,19
E1142N4843;-0,27
E1143N4843;-0,63
E1144N4843;-0,90
E1145N4843;-0,90
E1146N4843;-0,54
E1152N4843;-0,14
E1153N4843;-0,32
E1154N4843;-0,45
E1155N4843;-4,97
E1156N4843;-12,11
E1157N4843;-15,08
E1158N4843;-13,88
E1159N4843;-7,27
E1160N4843;-1,13
E1166N4843;-0,35
E1167N4843;-0,80
E1168N4843;-0,80
E1169N4843;-0,80
E1170N4843;-0,35
E1173N4843;-0,67
E1174N4843;-1,58
E1175N4843;-3,74
E1176N4843;-5,04
E1177N4843;-4,14
E1178N4843;-3,47
E1179N4843;-1,48
E1180N4843;-1,04
E1181N4843;-2,42
E1182N4843;-2,42
E1183N4843;-2,42
E1184N4843;-1,04
E1185N4843;-0,29
E1186N4843;-0,29
E1187N4843;-4,56
E1188N4843;-13,36
E1189N4843;-18,14
E1190N4843;-19,56
E1191N4843;-12,99
E1192N4843;-12,75
E1193N4843;-24,21
E1194N4843;-33,54
E1195N4843;-33,58
E1196N4843;-22,86
E1197N4843;-8,14
E1198N4843;-2,26
E1199N4843;-0,75
E1201N4843;-3,42
E1202N4843;-3,42
E1203N4843;-3,42
E1209N4843;-3,24
E1210N4843;-17,79
E1211N4843;-33,41
E1212N4843;-43,19
E1213N4843;-48,97
E1214N4843;-47,73
E1215N4843;-36,39
E1216N4843;-27,38
E1217N4843;-13,74
E1218N4843;-9,78
E1219N4843;-15,74
E1220N4843;-28,92
E1221N4843;-38,27
E1222N4843;-42,49
E1223N4843;-28,12
E1224N4843;-11,71
E1225N4843;-3,81
E1226N4843;-3,35
E1227N4843;-1,32
E1228N4843;-1,76
E1229N4843;-9,52
E1230N4843;-18,24
E1231N4843;-19,35
E1232N4843;-19,62
E1233N4843;-9,50
E1234N4843;-2,59
E1235N4843;-3,14
E1236N4843;-2,03
E1237N4843;-2,03
E1244N4843;-0,86
E1245N4843;-0,86
E1246N4843;-0,86
E1135N4844;-0,45
E1136N4844;-1,78
E1137N4844;-3,22
E1138N4844;-3,46
E1139N4844;-2,86
E1140N4844;-1,42
E1143N4844;-0,27
E1144N4844;-0,27
E1145N4844;-0,27
E1152N4844;-0,14
E1153N4844;-0,32
E1154N4844;-0,32
E1155N4844;-4,97
E1156N4844;-12,11
E1157N4844;-16,52
E1158N4844;-14,20
E1159N4844;-7,27
E1160N4844;-1,13
E1166N4844;-0,35
E1167N4844;-0,80
E1168N4844;-1,15
E1169N4844;-0,80
E1170N4844;-1,02
E1171N4844;-0,67
E1172N4844;-0,67
E1173N4844;-0,67
E1174N4844;-1,58
E1175N4844;-2,61
E1176N4844;-4,44
E1177N4844;-4,58
E1178N4844;-2,87
E1179N4844;-1,04
E1180N4844;-1,04
E1181N4844;-2,82
E1182N4844;-5,52
E1183N4844;-5,18
E1184N4844;-3,39
E1185N4844;-0,69
E1187N4844;-1,58
E1188N4844;-8,22
E1189N4844;-13,63
E1190N4844;-15,25
E1191N4844;-14,96
E1192N4844;-17,25
E1193N4844;-28,60
E1194N4844;-37,81
E1195N4844;-36,81
E1196N4844;-23,25
E1197N4844;-8,24
E1198N4844;-1,21
E1199N4844;-0,27
E1200N4844;-3,42
E1201N4844;-10,32
E1202N4844;-11,97
E1203N4844;-11,97
E1204N4844;-5,20
E1205N4844;-0,14
E1206N4844;-0,14
E1207N4844;-0,27
E1208N4844;-0,27
E1209N4844;-0,27
E1210N4844;-9,96
E1211N4844;-24,46
E1212N4844;-30,92
E1213N4844;-35,80
E1214N4844;-30,51
E1215N4844;-23,90
E1216N4844;-20,00
E1217N4844;-13,88
E1218N4844;-13,87
E1219N4844;-23,23
E1220N4844;-37,40
E1221N4844;-47,82
E1222N4844;-40,06
E1223N4844;-27,97
E1224N4844;-13,33
E1225N4844;-6,75
E1226N4844;-6,86
E1227N4844;-3,53
E1228N4844;-1,42
E1229N4844;-9,65
E1230N4844;-19,13
E1231N4844;-25,26
E1232N4844;-17,80
E1233N4844;-8,02
E1234N4844;-3,14
E1235N4844;-4,73
E1236N4844;-4,73
E1237N4844;-4,73
E1238N4844;-2,03
E1243N4844;-0,86
E1244N4844;-2,13
E1245N4844;-2,13
E1246N4844;-2,13
E1247N4844;-0,86
E1135N4845;-0,45
E1136N4845;-1,78
E1137N4845;-3,46
E1138N4845;-5,11
E1139N4845;-3,78
E1140N4845;-2,34
E1141N4845;-1,41
E1142N4845;-0,72
E1143N4845;-0,72
E1146N4845;-0,74
E1147N4845;-0,74
E1148N4845;-0,74
E1153N4845;-0,14
E1154N4845;-0,14
E1155N4845;-3,18
E1156N4845;-9,43
E1157N4845;-10,79
E1158N4845;-10,79
E1159N4845;-5,13
E1160N4845;-0,72
E1166N4845;-0,35
E1167N4845;-0,80
E1168N4845;-2,28
E1169N4845;-2,95
E1170N4845;-3,39
E1171N4845;-1,58
E1172N4845;-1,58
E1173N4845;-0,67
E1174N4845;-0,67
E1175N4845;-1,71
E1176N4845;-4,56
E1177N4845;-3,89
E1178N4845;-3,89
E1179N4845;-1,04
E1180N4845;-1,44
E1181N4845;-5,02
E1182N4845;-13,64
E1183N4845;-15,25
E1184N4845;-13,33
E1185N4845;-3,97
E1186N4845;-0,69
E1187N4845;-3,92
E1188N4845;-6,71
E1189N4845;-10,99
E1190N4845;-18,65
E1191N4845;-22,44
E1192N4845;-25,36
E1193N4845;-35,21
E1194N4845;-33,52
E1195N4845;-30,98
E1196N4845;-20,64
E1197N4845;-7,39
E1198N4845;-1,21
E1199N4845;-0,27
E1200N4845;-5,76
E1201N4845;-16,94
E1202N4845;-24,88
E1203N4845;-21,60
E1204N4845;-12,25
E1205N4845;-1,96
E1206N4845;-0,59
E1207N4845;-1,44
E1208N4845;-1,31
E1209N4845;-1,31
E1210N4845;-4,56
E1211N4845;-14,33
E1212N4845;-15,27
E1213N4845;-22,52
E1214N4845;-16,13
E1215N4845;-12,20
E1216N4845;-9,36
E1217N4845;-11,77
E1218N4845;-17,39
E1219N4845;-27,05
E1220N4845;-41,40
E1221N4845;-44,01
E1222N4845;-39,93
E1223N4845;-22,99
E1224N4845;-7,29
E1225N4845;-8,50
E1226N4845;-7,12
E1227N4845;-4,48
E1228N4845;-3,17
E1229N4845;-10,07
E1230N4845;-21,14
E1231N4845;-20,92
E1232N4845;-19,42
E1233N4845;-6,91
E1234N4845;-2,03
E1235N4845;-4,73
E1236N4845;-6,75
E1237N4845;-4,73
E1238N4845;-2,03
E1243N4845;-4,06
E1244N4845;-8,06
E1245N4845;-8,91
E1246N4845;-4,98
E1247N4845;-0,99
E1295N4845;-0,35
E1296N4845;-0,35
E1297N4845;-0,35
E1136N4846;-1,19
E1137N4846;-2,86
E1138N4846;-3,78
E1139N4846;-6,22
E1140N4846;-9,08
E1141N4846;-8,39
E1142N4846;-5,49
E1143N4846;-1,68
E1144N4846;-0,72
E1145N4846;-0,74
E1146N4846;-1,72
E1147N4846;-1,72
E1148N4846;-1,72
E1149N4846;-0,74
E1156N4846;-3,05
E1157N4846;-3,76
E1158N4846;-3,76
E1159N4846;-0,72
E1167N4846;-1,82
E1168N4846;-3,78
E1169N4846;-4,45
E1170N4846;-5,01
E1171N4846;-4,38
E1172N4846;-2,24
E1173N4846;-1,34
E1175N4846;-2,51
E1176N4846;-9,96
E1177N4846;-11,76
E1178N4846;-10,72
E1179N4846;-3,27
E1180N4846;-0,41
E1181N4846;-9,34
E1182N4846;-22,67
E1183N4846;-29,10
E1184N4846;-26,56
E1185N4846;-13,91
