ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Café 'Oranje';5630;119970;486555;110;Café-Restaurant;-1,9;2,0;
Café Beykoz;5630;118698;487038;110;Café-Restaurant;-1,9;2,0;
Chupitos Amsterdam B.V.;5630;120888;486084;110;Café-Restaurant;-1,9;2,0;
Cafe Maxwell B.V.;5630;123075;485531;110;Café-Restaurant;-1,9;2,0;
Drovers Dog Amsterdam Oost B.V.;5630;124188;486166;110;Café-Restaurant;-1,9;2,0;
Café Plezier;5630;118215;484436;111;Café-Restaurant;-1,9;2,0;
Restaurant La Casona;56101;121681;486366;112;Café-Restaurant;-1,9;2,0;
Yam-Yam;56101;120011;487700;112;Café-Restaurant;-1,9;2,0;
Lucky King en Hong;56101;125500;480839;112;Café-Restaurant;-1,9;2,0;
Yam Yam;56101;120011;487700;112;Café-Restaurant;-1,9;2,0;
Marhaba Oost;56101;122618;485536;112;Café-Restaurant;-1,9;2,0;
Marigiris B.V.;56101;121248;486965;112;Café-Restaurant;-1,9;2,0;
Mashua;56101;120758;486504;112;Café-Restaurant;-1,9;2,0;
PepeNero;56101;122339;485424;112;Café-Restaurant;-1,9;2,0;
Café 'De Blauwe Druif';5630;121218;488177;112;Café-Restaurant;-1,9;2,0;
De Kat in de Wijngaert;5630;120745;488168;112;Café-Restaurant;-1,9;2,0;
Affourtit Eten & Drinken B.V.;5630;119064;485051;112;Café-Restaurant;-1,9;2,0;
Eetcafé Lago;56101;124508;484517;113;Café-Restaurant;-1,9;2,0;
Indiaas-Surinaams Restaurant 'Poorna';56101;120845;487273;113;Café-Restaurant;-1,9;2,0;
Chinees-Indisch Restaurant 'Lung Tin';56101;116821;486263;113;Café-Restaurant;-1,9;2,0;
Little Thai Prince;56101;121893;487634;113;Café-Restaurant;-1,9;2,0;
Café Tabac B.V.;56101;121045;488150;113;Café-Restaurant;-1,9;2,0;
Dabka B.V.;56101;121886;487666;113;Café-Restaurant;-1,9;2,0;
Indonesisch Restaurant 'Djago';56102;121117;484183;113;Café-Restaurant;-1,9;2,0;
Wester;5630;120726;487692;113;Café-Restaurant;-1,9;2,0;
Lokaal B.V.;5630;122569;485518;113;Café-Restaurant;-1,9;2,0;
Pizzeria 'O Sole Mio';56101;120733;486397;114;Café-Restaurant;-1,9;2,0;
Portugees Restaurant 'Girassol';56101;122672;484739;114;Café-Restaurant;-1,9;2,0;
Norling Restaurant Amsterdam;56101;121140;486640;114;Café-Restaurant;-1,9;2,0;
Mi Sueno;56101;121444;484331;114;Café-Restaurant;-1,9;2,0;
C & K Horeca B.V.;56101;123490;487996;114;Café-Restaurant;-1,9;2,0;
Wat Verder ter Tafel Komt;56101;118482;487081;114;Café-Restaurant;-1,9;2,0;
Restaurant en eetcafé Pamukkale 2;56102;118519;487019;114;Café-Restaurant;-1,9;2,0;
Café Saarein;5630;120476;487054;114;Café-Restaurant;-1,9;2,0;
Café Old Wembley;5630;121799;487367;114;Café-Restaurant;-1,9;2,0;
Chinees Indisch Restaurant 'Choi Yuen';56101;116823;487518;115;Café-Restaurant;-1,9;2,0;
Chinees Restaurant Kam Ma B.V.;56101;126755;481727;115;Café-Restaurant;-1,9;2,0;
Iraq Restaurant;56101;124054;486274;115;Café-Restaurant;-1,9;2,0;
ASL Food t.h.o.d.n. Taco Mundo;56101;120030;486510;115;Café-Restaurant;-1,9;2,0;
Tres R B.V.;56101;121916;485356;115;Café-Restaurant;-1,9;2,0;
One Dim Sum;56101;120060;486169;115;Café-Restaurant;-1,9;2,0;
Bos & Lobster;56101;118349;487962;115;Café-Restaurant;-1,9;2,0;
Elite Café;5630;119348;487598;115;Café-Restaurant;-1,9;2,0;
Pizzeria 'Orvieto';56101;121484;487986;116;Café-Restaurant;-1,9;2,0;
G.W. van Beeren;56101;121972;487243;116;Café-Restaurant;-1,9;2,0;
La Stego;56101;121442;487267;116;Café-Restaurant;-1,9;2,0;
Boca's Westerstraat B.V.;56101;120827;488013;116;Café-Restaurant;-1,9;2,0;
Grand Café de Bijlmerplein B.V.;5630;125499;480728;116;Café-Restaurant;-1,9;2,0;
Grandcafé 't Amsterdamspoort B.V.;5630;125499;480728;116;Café-Restaurant;-1,9;2,0;
Jeffrey's Café;5630;121658;485479;116;Café-Restaurant;-1,9;2,0;
Simpel;5630;121180;485517;116;Café-Restaurant;-1,9;2,0;
Chinees Kantonees Spec. Restaurant Pagode;56101;119789;487020;117;Café-Restaurant;-1,9;2,0;
Restaurant Orontès;56101;121033;485299;117;Café-Restaurant;-1,9;2,0;
Restaurant 'Eten aan de Rijn';56101;122125;484423;117;Café-Restaurant;-1,9;2,0;
Merza B.V.;56101;128777;484944;117;Café-Restaurant;-1,9;2,0;
DCL;56101;124456;490119;117;Café-Restaurant;-1,9;2,0;
Zest Food & More;56101;119931;486648;117;Café-Restaurant;-1,9;2,0;
Wenbo;56101;125497;480842;117;Café-Restaurant;-1,9;2,0;
Café 'De Kletskop';5630;121847;487679;117;Café-Restaurant;-1,9;2,0;
Café Gambrinus;5630;121205;484938;117;Café-Restaurant;-1,9;2,0;
Feestcafé An 'n drea;5630;122273;483784;117;Café-Restaurant;-1,9;2,0;
Creative Asian Restaurant Reborn;56101;121239;484070;118;Café-Restaurant;-1,9;2,0;
Kagetsu;56101;120869;487270;118;Café-Restaurant;-1,9;2,0;
Boca's Sarphatipark B.V.;56101;121373;485275;118;Café-Restaurant;-1,9;2,0;
Viscafé de gouden hoek;56101;120119;488646;118;Café-Restaurant;-1,9;2,0;
depizza B.V.;5630;124779;487722;118;Café-Restaurant;-1,9;2,0;
Ricks Café;5630;121495;487207;118;Café-Restaurant;-1,9;2,0;
Café 'De Doelen';5630;121596;486834;118;Café-Restaurant;-1,9;2,0;
Café Chapiteau;47299;119999;488404;119;Café-Restaurant;-1,9;2,0;
Pizzeria Pescara;56101;123798;485307;119;Café-Restaurant;-1,9;2,0;
Eetcafé Poco Loco B.V.;56101;121794;487297;119;Café-Restaurant;-1,9;2,0;
Maleis Restaurant Wau;56101;121896;487629;119;Café-Restaurant;-1,9;2,0;
Van Harte B.V.;56101;120258;483947;119;Café-Restaurant;-1,9;2,0;
Lalla Rookh B.V.;56101;123756;485961;119;Café-Restaurant;-1,9;2,0;
Café Heuvel B.V.;5630;120994;486180;119;Café-Restaurant;-1,9;2,0;
Café De Biergriet;5630;120933;485131;119;Café-Restaurant;-1,9;2,0;
Dé Nachtkroeg;5630;124331;485531;119;Café-Restaurant;-1,9;2,0;
Nieuwmarkt B.V.;5630;121860;487234;119;Café-Restaurant;-1,9;2,0;
Eetcafé Jur;56101;120615;487725;120;Café-Restaurant;-1,9;2,0;
Restaurant 'Bordewijk';56101;120974;488149;120;Café-Restaurant;-1,9;2,0;
San Giovanni;56101;122011;486715;120;Café-Restaurant;-1,9;2,0;
Skek B.V.;56101;121836;487688;120;Café-Restaurant;-1,9;2,0;
Brasserie Vlaming;56101;120882;487862;120;Café-Restaurant;-1,9;2,0;
Kip aan Zee B.V.;56101;122721;485656;120;Café-Restaurant;-1,9;2,0;
Surya B.V.;56101;121374;485158;120;Café-Restaurant;-1,9;2,0;
Bio Fastfood B.V.;56101;118916;486187;120;Café-Restaurant;-1,9;2,0;
Elilène B.V.;56101;122033;486308;120;Café-Restaurant;-1,9;2,0;
De Drie Graefjes B.V.;56101;121311;487483;120;Café-Restaurant;-1,9;2,0;
Nour Restaurant;56102;124302;486317;120;Café-Restaurant;-1,9;2,0;
Café Restaurant Kerkzicht;5630;114961;483882;120;Café-Restaurant;-1,9;2,0;
Café Plein 40-45;5630;116494;488112;120;Café-Restaurant;-1,9;2,0;
't Gasthuys B.V.;5630;121382;486949;120;Café-Restaurant;-1,9;2,0;
Vivelavie B.V.;5630;121684;486606;120;Café-Restaurant;-1,9;2,0;
Sauna Noord;5630;123425;488759;120;Café-Restaurant;-1,9;2,0;
Ristorante Pizzeria 'La Vita';56101;120932;488175;121;Café-Restaurant;-1,9;2,0;
Blauw aan de Wal B.V.;56101;121723;487267;121;Café-Restaurant;-1,9;2,0;
Café Thuys;5630;119460;487018;121;Café-Restaurant;-1,9;2,0;
Café Zandvoort;5630;118748;487146;121;Café-Restaurant;-1,9;2,0;
Bistro Nargila;5630;120249;489107;121;Café-Restaurant;-1,9;2,0;
Restaurant Jun;56101;120002;487680;122;Café-Restaurant;-1,9;2,0;
Beer Dream B.V.;56101;121382;487844;122;Café-Restaurant;-1,9;2,0;
Café Zwart;5630;121423;487297;122;Café-Restaurant;-1,9;2,0;
BB180;5630;120180;484024;122;Café-Restaurant;-1,9;2,0;
Restaurant Colosseo Pizzeria;56101;121228;484084;123;Café-Restaurant;-1,9;2,0;
Hemelse Modder B.V.;56101;120182;488442;123;Café-Restaurant;-1,9;2,0;
Angoletto;56101;121957;485599;123;Café-Restaurant;-1,9;2,0;
Snappers B.V.;56101;121135;486644;123;Café-Restaurant;-1,9;2,0;
Café Mansro;5630;121666;485460;123;Café-Restaurant;-1,9;2,0;
Café Cantina 'De Groene Olifant';5630;123176;486339;123;Café-Restaurant;-1,9;2,0;
Café de Ouwe Garde;5630;119628;482746;123;Café-Restaurant;-1,9;2,0;
De Prins;5630;120735;487705;123;Café-Restaurant;-1,9;2,0;
Rembrandt Waterloo B.V.;5630;121624;487518;123;Café-Restaurant;-1,9;2,0;
Restaurant Willems B.V.;56101;119798;485448;124;Café-Restaurant;-1,9;2,0;
De Belhamel;56101;121284;488066;124;Café-Restaurant;-1,9;2,0;
Knabbel & Babbel;56101;121283;483990;124;Café-Restaurant;-1,9;2,0;
De Hu's;56101;121196;488195;124;Café-Restaurant;-1,9;2,0;
Café Uniek B.V.;5630;121560;486617;124;Café-Restaurant;-1,9;2,0;
Café Kalkhoven;5630;120693;487455;124;Café-Restaurant;-1,9;2,0;
Café 'De Zeevaart';5630;121820;487517;124;Café-Restaurant;-1,9;2,0;
Terras Café de Monico;5630;121560;486617;124;Café-Restaurant;-1,9;2,0;
Café Eik en Linde;5630;122565;486622;124;Café-Restaurant;-1,9;2,0;
Café Mooy (eig. B.C. van Baaijen);5630;121494;487711;124;Café-Restaurant;-1,9;2,0;
Dubai Lounge Café;5630;119839;487182;124;Café-Restaurant;-1,9;2,0;
Eethuis 'De Carrekelder';56101;122089;486125;125;Café-Restaurant;-1,9;2,0;
Indonesisch Restaurant Tempo Doeloe B.V.;56101;121722;486267;125;Café-Restaurant;-1,9;2,0;
Bickers aan de Werf V.O.F.;56101;121161;488746;125;Café-Restaurant;-1,9;2,0;
Red Amsterdam;56101;121077;486359;125;Café-Restaurant;-1,9;2,0;
Osteria Nessun Dorma;56101;124109;485375;125;Café-Restaurant;-1,9;2,0;
NELIS Amsterdam;56101;124213;486345;125;Café-Restaurant;-1,9;2,0;
Yum Yum;56101;121355;485116;125;Café-Restaurant;-1,9;2,0;
Asian Kitchen Vijzel;56101;121368;486634;125;Café-Restaurant;-1,9;2,0;
Erva Café & Restaurant B.V.;5630;122999;491202;125;Café-Restaurant;-1,9;2,0;
Café 't Geveltje (Eig. J.P.M. Ruigrok);5630;120304;487488;125;Café-Restaurant;-1,9;2,0;
Café de Krul B.V.;5630;120747;486253;125;Café-Restaurant;-1,9;2,0;
Specialiteitenrestaurant in 't Vierde Baarsje;56101;118693;485729;126;Café-Restaurant;-1,9;2,0;
Samen op Locatie B.V.;56101;121045;482768;126;Café-Restaurant;-1,9;2,0;
Umi Nederland B.V.;56101;120827;486302;126;Café-Restaurant;-1,9;2,0;
El Panelazo Colombiano;56101;120068;482136;126;Café-Restaurant;-1,9;2,0;
Chinees Specialiteiten Restaurant Oceania;56101;121198;484282;127;Café-Restaurant;-1,9;2,0;
Mt. Everest;56101;122708;488543;127;Café-Restaurant;-1,9;2,0;
Café van der Helst;5630;121471;484997;127;Café-Restaurant;-1,9;2,0;
De Dampkring B.V.;5630;121171;486768;127;Café-Restaurant;-1,9;2,0;
Mazazik;5630;122804;488752;127;Café-Restaurant;-1,9;2,0;
Buon Giorno 2 B.V.;5630;118170;487962;127;Café-Restaurant;-1,9;2,0;
Turks Restaurant Hira;56101;122706;488536;128;Café-Restaurant;-1,9;2,0;
Asian Kitchen Arena;56101;124718;480703;128;Café-Restaurant;-1,9;2,0;
Tropics Lounge;56101;114080;485503;128;Café-Restaurant;-1,9;2,0;
De Arena Connection B.V.;56101;124670;480674;128;Café-Restaurant;-1,9;2,0;
The Internet Café;5630;121508;487936;128;Café-Restaurant;-1,9;2,0;
Penultimate III B.V.;5630;121292;488164;128;Café-Restaurant;-1,9;2,0;
La Casa Argentina;56101;121890;487615;129;Café-Restaurant;-1,9;2,0;
Magdi en Emil B.V.;56101;121890;487615;129;Café-Restaurant;-1,9;2,0;
PQNL Warmoes B.V.;56101;119503;485060;129;Café-Restaurant;-1,9;2,0;
PQNL Linnaeus B.V.;56101;119503;485060;129;Café-Restaurant;-1,9;2,0;
Café Frontline;5630;121936;487455;129;Café-Restaurant;-1,9;2,0;
Lime Café;5630;121832;487452;129;Café-Restaurant;-1,9;2,0;
Café 'The Queen's Head';5630;121870;487643;129;Café-Restaurant;-1,9;2,0;
Bistro de Kraai B.V.;56101;127152;481029;130;Café-Restaurant;-1,9;2,0;
Indonesisch-Maleisia-Singapore Taste of Life;56101;122160;484451;130;Café-Restaurant;-1,9;2,0;
Khan Amsterdam;56101;120741;481952;130;Café-Restaurant;-1,9;2,0;
PQNL Beethoven B.V.;56101;120226;484618;130;Café-Restaurant;-1,9;2,0;
Ô mai C.V.;56101;121646;486517;130;Café-Restaurant;-1,9;2,0;
Dragons Delight;56101;122316;485126;130;Café-Restaurant;-1,9;2,0;
Brasserie 't Siertje;56102;116806;485480;130;Café-Restaurant;-1,9;2,0;
Ope Horeca-Exploitatie B.V.;5630;121464;485334;130;Café-Restaurant;-1,9;2,0;
Funky Munkey;5630;120195;487325;130;Café-Restaurant;-1,9;2,0;
Petram Horeca;5630;121239;486016;130;Café-Restaurant;-1,9;2,0;
Indian Restaurant 'Koh-I-Noor';56101;120711;487454;131;Café-Restaurant;-1,9;2,0;
Healthfood Restaurant de Bolhoed;56101;120847;487900;131;Café-Restaurant;-1,9;2,0;
Long Pura;56101;120535;487432;131;Café-Restaurant;-1,9;2,0;
Café Thijssen;5630;120971;488219;131;Café-Restaurant;-1,9;2,0;
Restaurant Argentino Luna;56101;120770;488172;132;Café-Restaurant;-1,9;2,0;
Café 'Wheels';5630;120892;487058;132;Café-Restaurant;-1,9;2,0;
Menco B.V.;5630;120747;488596;132;Café-Restaurant;-1,9;2,0;
Favori Café Restaurant;56101;124453;490091;133;Café-Restaurant;-1,9;2,0;
Chinees-Surinaams Restaurant AH-LUNG;56101;121787;485605;133;Café-Restaurant;-1,9;2,0;
Restaurant Vive;56101;118703;485724;133;Café-Restaurant;-1,9;2,0;
Horeca Exploitatie Karpershoek B.V.;56101;121605;487919;133;Café-Restaurant;-1,9;2,0;
Fan's Kitchen;56101;119751;486079;133;Café-Restaurant;-1,9;2,0;
De Karpershoek;5630;121605;487919;133;Café-Restaurant;-1,9;2,0;
't Feest van Joop B.V.;5630;120763;486363;133;Café-Restaurant;-1,9;2,0;
de Ruyschkamer;56101;122431;485574;134;Café-Restaurant;-1,9;2,0;
Unimeal Basilico;56101;125496;480839;134;Café-Restaurant;-1,9;2,0;
Café 'De Dam';5630;121428;487272;134;Café-Restaurant;-1,9;2,0;
Brasserie Klokspijs B.V.;56101;121984;485528;135;Café-Restaurant;-1,9;2,0;
Fondue et plus;56101;119171;485818;135;Café-Restaurant;-1,9;2,0;
Café de Zuid;56101;124417;487723;135;Café-Restaurant;-1,9;2,0;
't Houtskooltje;56101;123531;488934;135;Café-Restaurant;-1,9;2,0;
District 5;56101;121480;484959;135;Café-Restaurant;-1,9;2,0;
Café 'Mulligans';5630;121597;486676;135;Café-Restaurant;-1,9;2,0;
Eetcafé Baraka;56101;118748;487109;136;Café-Restaurant;-1,9;2,0;
Restaurant 'Het Melkmeisje';56101;121866;487673;136;Café-Restaurant;-1,9;2,0;
Eddy Spaghetti;56101;123467;485452;136;Café-Restaurant;-1,9;2,0;
Café De Twee Zwaantjes;5630;120748;487728;136;Café-Restaurant;-1,9;2,0;
De Deugniet;5630;121655;487611;136;Café-Restaurant;-1,9;2,0;
Quatfass-Amsterdam B.V.;5630;123467;485452;136;Café-Restaurant;-1,9;2,0;
Ristorante Pizzeria Piccolino;56101;120811;486310;137;Café-Restaurant;-1,9;2,0;
Pizzeria Fantasia;56101;120533;486413;137;Café-Restaurant;-1,9;2,0;
Small Talk B.V.;56101;120340;485681;137;Café-Restaurant;-1,9;2,0;
Café Bloemers B.V.;56101;122029;485415;137;Café-Restaurant;-1,9;2,0;
L'angolo Italiano;56101;121212;484439;137;Café-Restaurant;-1,9;2,0;
Bubbles & Wines B.V.;5630;121393;487198;137;Café-Restaurant;-1,9;2,0;
Tia Rosa;5630;121556;486380;137;Café-Restaurant;-1,9;2,0;
Chinees Indisch Restaurant 'Golden Pauw';56101;118985;487169;138;Café-Restaurant;-1,9;2,0;
Chinees Restaurant 'Royal City';56101;114098;485429;138;Café-Restaurant;-1,9;2,0;
V.O.F. Restaurant Helder;56101;118223;484605;138;Café-Restaurant;-1,9;2,0;
Restaurant Michiu B.V.;56101;121478;484142;138;Café-Restaurant;-1,9;2,0;
V.O.F. La Brochette;56101;119562;481973;138;Café-Restaurant;-1,9;2,0;
Double Happiness B.V.;56101;119388;486116;138;Café-Restaurant;-1,9;2,0;
Los Pilones;56101;121908;487363;138;Café-Restaurant;-1,9;2,0;
Noordhof en Houtkoop Amsterdam B.V.;56101;121972;487445;138;Café-Restaurant;-1,9;2,0;
China Si Chuan Warmoesstraat B.V.;56101;121760;487672;138;Café-Restaurant;-1,9;2,0;
Café de Zwart;5630;121039;486895;138;Café-Restaurant;-1,9;2,0;
Market Horeca C.V.;5630;121810;487328;138;Café-Restaurant;-1,9;2,0;
Sanny's Place;5630;115249;487837;138;Café-Restaurant;-1,9;2,0;
Pizzeria il Forno;56101;123302;486888;139;Café-Restaurant;-1,9;2,0;
The House of Rising B.V.;5630;121192;486624;139;Café-Restaurant;-1,9;2,0;
Rimini Pizzeria Restaurant;56101;120829;486289;140;Café-Restaurant;-1,9;2,0;
Restaurant 't Fornuis;56101;121687;486415;140;Café-Restaurant;-1,9;2,0;
Brasserie de Joffers;56101;119835;485453;140;Café-Restaurant;-1,9;2,0;
Bloem op IJburg;56101;128429;485250;140;Café-Restaurant;-1,9;2,0;
Bread & Butter B.V.;56101;121282;485400;140;Café-Restaurant;-1,9;2,0;
V.O.F. Jefferson bar-brasserie;56101;117990;483731;140;Café-Restaurant;-1,9;2,0;
Café 't Pitje V.H. Lammie;5630;114969;486193;140;Café-Restaurant;-1,9;2,0;
De Doffer;5630;120709;486905;140;Café-Restaurant;-1,9;2,0;
Eethuis Ibo Döner Kebab;56101;119995;487513;141;Café-Restaurant;-1,9;2,0;
Dosa South Indian Restaurant;56101;119999;486186;141;Café-Restaurant;-1,9;2,0;
Restaurant Jaspers;56101;120942;485030;141;Café-Restaurant;-1,9;2,0;
Brasserie 'Pompa';56101;120307;485702;141;Café-Restaurant;-1,9;2,0;
PQNL Oud Zuid B.V.;56101;119906;485313;141;Café-Restaurant;-1,9;2,0;
Sardegna B.V.;56101;119856;485399;141;Café-Restaurant;-1,9;2,0;
Palmyra Castle levant cuisine;56101;119023;487059;141;Café-Restaurant;-1,9;2,0;
Kingfisher Café B.V.;5630;121161;485537;141;Café-Restaurant;-1,9;2,0;
Chinees-Indisch Restaurant 'Nieuw Peking';56101;120550;485189;142;Café-Restaurant;-1,9;2,0;
Jasmine Thai Cuisine;56101;121843;487407;142;Café-Restaurant;-1,9;2,0;
Ku Kitchen & Bar;56101;121745;486090;142;Café-Restaurant;-1,9;2,0;
Café de Poort;5630;121024;488378;142;Café-Restaurant;-1,9;2,0;
De Oude Schaper B.V.;5630;120057;487498;142;Café-Restaurant;-1,9;2,0;
Phood Klub B.V.;5630;120867;489246;142;Café-Restaurant;-1,9;2,0;
Café/Restaurant Levant;56101;120951;486021;143;Café-Restaurant;-1,9;2,0;
Restaurant Sinne B.V.;56101;121401;485127;143;Café-Restaurant;-1,9;2,0;
PQNL Nieuwezijds B.V.;56101;121418;487830;143;Café-Restaurant;-1,9;2,0;
Café Bar 't Binnepretje;5630;118834;488311;143;Café-Restaurant;-1,9;2,0;
6Café Chris;5630;120568;487497;143;Café-Restaurant;-1,9;2,0;
Restaurant Los Argentinos;56101;120827;486325;144;Café-Restaurant;-1,9;2,0;
Caffe Panini;56101;121258;486114;144;Café-Restaurant;-1,9;2,0;
Pianeta Terra;56101;120985;486798;144;Café-Restaurant;-1,9;2,0;
De Kooning van Siam;56101;121775;487573;144;Café-Restaurant;-1,9;2,0;
Eetcafe Carels III;56101;121177;486828;144;Café-Restaurant;-1,9;2,0;
Sweet Asia;56101;123791;486239;144;Café-Restaurant;-1,9;2,0;
Meat & Drink;56101;121499;487235;144;Café-Restaurant;-1,9;2,0;
Karas Nederland B.V.;56101;121259;487516;144;Café-Restaurant;-1,9;2,0;
V.O.F. Café Schumich;5630;121434;488067;144;Café-Restaurant;-1,9;2,0;
Excalibur Café B.V.;5630;121781;487462;144;Café-Restaurant;-1,9;2,0;
Tisfris B.V.;5630;121868;486977;144;Café-Restaurant;-1,9;2,0;
Eetcafé Dublé;56101;121100;485063;145;Café-Restaurant;-1,9;2,0;
Restaurant Classico;56101;120061;485566;145;Café-Restaurant;-1,9;2,0;
Restaurant Elkaar;56101;123123;486256;145;Café-Restaurant;-1,9;2,0;
Amsterdam Investment Club B.V.;56101;121634;485196;145;Café-Restaurant;-1,9;2,0;
Le Hollandais;56101;122183;485349;146;Café-Restaurant;-1,9;2,0;
Bella Antonios;56101;120790;486309;146;Café-Restaurant;-1,9;2,0;
Tuin10 B.V.;56101;120580;487818;147;Café-Restaurant;-1,9;2,0;
Royal Med.;56101;122511;489190;147;Café-Restaurant;-1,9;2,0;
Jerry Alexanders Basics B.V.;5630;121477;487724;147;Café-Restaurant;-1,9;2,0;
Kade 58 B.V.;5630;120014;486567;147;Café-Restaurant;-1,9;2,0;
Leidsestaat B.V.;5630;120618;486461;147;Café-Restaurant;-1,9;2,0;
BeerTemple B.V.;5630;121165;487239;147;Café-Restaurant;-1,9;2,0;
Café Restaurant Stout B.V.;56101;121305;488140;148;Café-Restaurant;-1,9;2,0;
Café de Zagerij;56101;120583;487942;148;Café-Restaurant;-1,9;2,0;
Guada Lupe;56101;121964;487751;148;Café-Restaurant;-1,9;2,0;
Verhulst, eten en drinken;5630;119918;485289;148;Café-Restaurant;-1,9;2,0;
De Stadskantine;56101;121942;485202;149;Café-Restaurant;-1,9;2,0;
Hoopman Bodega B.V.;5630;120654;486417;149;Café-Restaurant;-1,9;2,0;
Meram Bos en Lommer B.V.;56101;118202;487905;151;Café-Restaurant;-1,9;2,0;
Café van Leeuwen B.V.;5630;121700;486356;152;Café-Restaurant;-1,9;2,0;
Johnny's Pizza Express;56101;120380;489259;153;Café-Restaurant;-1,9;2,0;
Ristorante Pizzeria 'Lago Maggiore';56101;124211;486316;154;Café-Restaurant;-1,9;2,0;
Caharo B.V.;5630;121798;487437;157;Café-Restaurant;-1,9;2,0;
Kenichi V.O.F.;56101;115018;485733;160;Café-Restaurant;-1,9;2,0;
De Duvel B.V.;56101;121373;485327;162;Café-Restaurant;-1,9;2,0;
Bar Moustache;56101;121772;486050;163;Café-Restaurant;-1,9;2,0;
Moustache B.V.;56101;121772;486050;163;Café-Restaurant;-1,9;2,0;
Bambou;56101;119956;483294;164;Café-Restaurant;-1,9;2,0;
Restaurant & Lunchroom Hanimeli;56101;122802;490005;170;Café-Restaurant;-1,9;2,0;
Broodje Tip Top;56101;124314;486318;170;Café-Restaurant;-1,9;2,0;
Libertine Café B.V.;56101;120841;487063;170;Café-Restaurant;-1,9;2,0;
La Place;56101;120212;482731;174;Café-Restaurant;-1,9;2,0;
Spang Makandra 2 B.V.;56101;114655;485621;176;Café-Restaurant;-1,9;2,0;
Alfonso's V.O.F.;56101;121675;486390;181;Café-Restaurant;-1,9;2,0;
Sultanahmet Koftecisi;56101;117456;488042;181;Café-Restaurant;-1,9;2,0;
Gijsbrecht B.V.;5630;120608;486353;182;Café-Restaurant;-1,9;2,0;
Kosher B.V.;56101;120658;482120;183;Café-Restaurant;-1,9;2,0;
Indiaas Restaurant 'Murugan';56101;120293;487333;185;Café-Restaurant;-1,9;2,0;
Surinaams restaurant 'Kon Esi Baka';56101;126949;478695;185;Café-Restaurant;-1,9;2,0;
La Place;56101;121332;486724;187;Café-Restaurant;-1,9;2,0;
La Place Food B.V.;56101;121332;486724;187;Café-Restaurant;-1,9;2,0;
Café Oud-Noord;5630;122505;489178;196;Café-Restaurant;-1,9;2,0;
Mesir V.O.F.;56101;122615;489328;202;Café-Restaurant;-1,9;2,0;
Brix Restaurant B.V.;56101;120853;487061;207;Café-Restaurant;-1,9;2,0;
Shabu Bento B.V.;56101;121418;486643;215;Café-Restaurant;-1,9;2,0;
Beuken B.V.;56101;123038;485527;219;Café-Restaurant;-1,9;2,0;
Café 'De Bult' B.V.;5630;122728;489415;235;Café-Restaurant;-1,9;2,0;
Onder de Ooievaar B.V.;5630;121757;486113;249;Café-Restaurant;-1,9;2,0;
KHL B.V.;56101;124293;487449;260;Café-Restaurant;-1,9;2,0;
Noara's B.V.;56101;122243;486723;260;Café-Restaurant;-1,9;2,0;
The Old Bell;5630;121637;486546;262;Café-Restaurant;-1,9;2,0;
Neuf Amsterdam B.V.;5630;121401;488059;277;Café-Restaurant;-1,9;2,0;
Domadios 60 B.V.;56101;120619;486168;288;Café-Restaurant;-1,9;2,0;
Sirvan B.V.;56101;115010;485774;296;Café-Restaurant;-1,9;2,0;
Drovers Dog Amsterdam Oud-Zuid B.V.;56101;118249;484976;314;Café-Restaurant;-1,9;2,0;
Marmaris Arena B.V.;56101;125050;480659;317;Café-Restaurant;-1,9;2,0;
Restaurant Ufuk;56101;118795;487159;332;Café-Restaurant;-1,9;2,0;
Grand Café Rox B.V.;5630;124461;480629;388;Café-Restaurant;-1,9;2,0;
Soho Stationsplein B.V.;56101;121313;483708;554;Café-Restaurant;-1,9;2,0;
Kreeftenbar Amsterdam;56101;121313;483708;554;Café-Restaurant;-1,9;2,0;
Eethuis 'De Pannekoekkelder';56102;121230;487094;685;Café-Restaurant;-1,9;2,0;
Sluizer Restaurants;56101;121691;486398;696;Café-Restaurant;-1,9;2,0;
Atelier Schinkel B.V.;56101;117967;483931;781;Café-Restaurant;-1,9;2,0;
The Movies Restaurants B.V.;56101;120782;488575;2449;Café-Restaurant;-1,9;2,0;
Spiazzo B.V.;5630;126969;486116;2590;Café-Restaurant;-1,9;2,0;
La Place;56101;124304;490261;6926;Café-Restaurant;-1,9;2,0;
La Place Food B.V.;56101;124904;478814;11344;Café-Restaurant;-1,9;2,0;
Roma Nieuwendijk 239 B.V.;47242;121329;487421;0;Chocolate store;-4,3;0,5;
Kiosk Monty Grieving;47242;121333;486689;0;Chocolate store;-4,3;0,5;
Leonidas Gelderlandplein;47242;120255;482721;0;Chocolate store;-4,3;0,5;
Snoep van Zoetje;47242;125580;478888;0;Chocolate store;-4,3;0,5;
De Koning Chocolaterie;47242;121858;487405;21;Chocolate store;-4,3;0,5;
't Goede Soet;47242;121030;487848;22;Chocolate store;-4,3;0,5;
Het Oud-Hollandsch Snoepwinkeltje;47242;120592;487790;22;Chocolate store;-4,3;0,5;
Leonidas;47242;121211;486714;23;Chocolate store;-4,3;0,5;
Chocolaterie Internationaal H. Kremer;47242;121161;486477;25;Chocolate store;-4,3;0,5;
Delicious;47242;121778;487262;27;Chocolate store;-4,3;0,5;
