ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Boulangerie Patisserie du Paris;47241;117213;484828;0;Bakery;1,2;0,5;
Dolce & Gelato Bio Amsterdam;47241;121511;487248;0;Bakery;1,2;0,5;
Paradiso Del Gelato;47241;121810;487084;0;Bakery;1,2;0,5;
Viriato's;47241;118031;488302;0;Bakery;1,2;0,5;
De Koekenbakkers Hilversum;47241;120676;488421;0;Bakery;1,2;0,5;
Laurent B.V.;47241;121266;487494;0;Bakery;1,2;0,5;
Tuff Cookie;47241;124611;483611;0;Bakery;1,2;0,5;
Croissanterie Pieter Heyestraat;47241;119405;486144;0;Bakery;1,2;0,5;
Vlmsch Broodhuys Amsterdam Stadionplein B.V.;47241;118890;484174;0;Bakery;1,2;0,5;
Bake My Day B.V.;47241;113606;489458;0;Bakery;1,2;0,5;
Bouchee;47241;124395;486785;0;Bakery;1,2;0,5;
Rida Holding B.V.;47241;121446;483909;0;Bakery;1,2;0,5;
Bizim Ufuk Bakkerij;47299;125468;489526;0;Bakery;1,2;0,5;
Pannenkoeken & Crêpes Restaurant de Hop 2.0;56101;121444;482463;0;Bakery;1,2;0,5;
The Pancake Bakery;56101;120885;487868;0;Bakery;1,2;0,5;
Pancake King;56101;121784;486581;0;Bakery;1,2;0,5;
Pancakes PH B.V.;56101;121766;487734;0;Bakery;1,2;0,5;
MOOK Pancakes B.V.;56101;119234;486147;0;Bakery;1,2;0,5;
Pancake Bar B.V.;56101;120751;486377;0;Bakery;1,2;0,5;
Pancake Day Amsterdam B.V.;56101;119803;484109;0;Bakery;1,2;0,5;
Pancakes Wester B.V.;56101;120715;487567;0;Bakery;1,2;0,5;
De Bakkerswinkel;56102;121677;487575;0;Bakery;1,2;0,5;
Banketbakkerij Arnold Cornelis B.V.;47241;120488;486992;16;Bakery;1,2;0,5;
Bakkerij De Lekkernij;47241;124773;483722;18;Bakery;1,2;0,5;
Maxime's brood-, banket- en ijswinkel;47241;121509;486953;23;Bakery;1,2;0,5;
Vlaamsch Broodhuys A'dam Vijzelstraat B.V.;4711;121288;486244;24;Bakery;1,2;0,5;
De Lekkere Dingen Bakker;47241;125527;480833;24;Bakery;1,2;0,5;
Bakkerij Eethuis Lavina;56102;121783;485520;24;Bakery;1,2;0,5;
Bakkerij Bayar;56102;123092;488806;24;Bakery;1,2;0,5;
Warme Bakkers Klopper en Stolk;47241;119883;486687;25;Bakery;1,2;0,5;
Baksels;47241;119977;486629;26;Bakery;1,2;0,5;
Croissanterie Balans;56102;119851;488090;26;Bakery;1,2;0,5;
De Lekkere Dingen Bakker;47241;122118;484457;27;Bakery;1,2;0,5;
Abanoub B.V.;47241;121476;487611;29;Bakery;1,2;0,5;
Croissanterie 'Le Mortier';56102;121226;485968;29;Bakery;1,2;0,5;
Croissanterie Bilderdijkstraat;56102;119804;487192;29;Bakery;1,2;0,5;
Broodbakkerij van der Heijden;47241;118626;488069;30;Bakery;1,2;0,5;
Edwin t.h.o.d.n. Bertram & Brood;47241;120604;487794;30;Bakery;1,2;0,5;
MOSADO;47241;120961;488399;30;Bakery;1,2;0,5;
Bakkerswinkel Neeltje V.O.F.;56102;124389;487752;30;Bakery;1,2;0,5;
Croissanterie Jennifer;56102;121525;487888;30;Bakery;1,2;1,0;
Van Stapele Koekmakerij;47241;121033;486893;31;Bakery;1,2;1,0;
Vlaai Company t.h.o.d.n. Multi-Vlaai;47241;119595;486559;32;Bakery;1,2;1,0;
Belkadi Italiaans Brood & Banket;47241;117166;487588;33;Bakery;1,2;1,0;
Baking Lab;47241;123626;485719;33;Bakery;1,2;1,0;
Vlaai Company t.h.o.d.n. Multi-Vlaai;47241;120350;482675;35;Bakery;1,2;1,0;
J. Yakhlaf Bakkerij B.V.;47241;124127;486312;35;Bakery;1,2;1,0;
Ice Bakery;47242;121233;487308;35;Bakery;1,2;1,0;
Panaderia Alhambra;47241;119864;488333;36;Bakery;1,2;1,0;
Bakkerij Osman Usta;47241;115067;487822;36;Bakery;1,2;1,0;
Broodje Wouda;4711;121186;486933;38;Bakery;1,2;1,0;
Shenouda B.V.;47241;121575;487192;38;Bakery;1,2;1,0;
Pancakes2Go;56101;122717;490526;38;Bakery;1,2;1,0;
Warme Bakkers Klopper en Stolk;47241;118833;485113;40;Bakery;1,2;1,0;
Daniëlle Betram t.h.o.d.n. Betram & Brood;47241;119849;485348;40;Bakery;1,2;1,0;
Speciaalbakker Nol Bertram;56102;118401;487980;41;Bakery;1,2;1,0;
Croissanterie D'oude Brug;56102;121548;487683;41;Bakery;1,2;1,0;
de Bakkerszonen Beukenplein B.V.;47241;123010;485581;42;Bakery;1,2;1,0;
Hartog's Volkorenbakkerij B.V.;47241;122562;485541;43;Bakery;1,2;1,0;
Plooij Brood en Banket;47241;119248;487576;45;Bakery;1,2;1,0;
Melly's Cookies Bar;47241;121221;487460;45;Bakery;1,2;1,0;
My little patisserie;47241;121377;485317;45;Bakery;1,2;1,0;
Patisserie Fes;47241;119513;487015;46;Bakery;1,2;1,0;
René's Croissanterie B.V.;56102;121459;487257;47;Bakery;1,2;1,0;
Croissanterie Outmayer;56102;121370;487475;47;Bakery;1,2;1,0;
The Muffin Man;47241;117344;487957;49;Bakery;1,2;1,0;
Louise Banket en Bonbons;47241;120079;486300;50;Bakery;1,2;1,0;
Bakkerij Renzema;47241;119642;484398;50;Bakery;1,2;1,0;
L' Amour Wafel;47241;121284;487686;50;Bakery;1,2;1,0;
Banketbakkerij Nador;47241;117470;486555;51;Bakery;1,2;1,0;
Croissanterie Ring Holland B.V.;56102;121236;487058;51;Bakery;1,2;1,0;
Bakkerij Balvert;47241;123762;485536;52;Bakery;1,2;1,0;
