ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor
Pind Punjabi;122058;484732;0;Restaurant;1;-0,9;-0,9
Laromme Restaurant B.V.;124255;486793;0;Restaurant;1;-0,9;-0,9
Sumo Amsterdam 2 B.V.;121319;486516;0;Restaurant;1;-0,9;-0,9
Schutters B.V.;121191;486823;0;Restaurant;1;-0,9;-0,9
Vondelpark 3 B.V.;120108;486030;0;Restaurant;1;-0,9;-0,9
De Vondeltuin;118852;485334;0;Restaurant;1;-0,9;-0,9
Restaurant Libero;122242;484356;0;Restaurant;1;-0,9;-0,9
Kiplekker DE Beste;123556;489345;0;Restaurant;1;-0,9;-0,9
Kam Yin;121778;487720;0;Restaurant;1;-0,9;-0,9
Restaurant San Thomas;121783;487691;0;Restaurant;1;-0,9;-0,9
Restaurant El Asador;121770;487680;0;Restaurant;1;-0,9;-0,9
Rio Bueno;121767;487678;0;Restaurant;1;-0,9;-0,9
Aneka Rasa;121748;487656;0;Restaurant;1;-0,9;-0,9
Empresa Pacifico B.V.;121738;487645;0;Restaurant;1;-0,9;-0,9
Italiaans Restaurant Da Giorgio;121724;487649;0;Restaurant;1;-0,9;-0,9
Spaans Restaurant La Paella V.O.F.;121720;487626;0;Restaurant;1;-0,9;-0,9
Gastrobar Sheeba B.V.;121668;487566;0;Restaurant;1;-0,9;-0,9
Caffè Italia 93;121627;487522;0;Restaurant;1;-0,9;-0,9
Warmoesstraat 111 B.V.;121594;487482;0;Restaurant;1;-0,9;-0,9
Avram;121960;486635;0;Restaurant;1;-0,9;-0,9
Kees.drinken, eten en drinken;122319;485423;0;Restaurant;1;-0,9;-0,9
Aan den Weesperseyde B.V.;122698;484667;0;Restaurant;1;-0,9;-0,9
Paviljoen de Skeeve Skaes B.V.;121282;488690;0;Restaurant;1;-0,9;-0,9
Wolf Atelier;121303;488473;0;Restaurant;1;-0,9;-0,9
Brockhoff & Vos;120687;487973;0;Restaurant;1;-0,9;-0,9
Restaurant Melo;120645;487960;0;Restaurant;1;-0,9;-0,9
Cinema Paradiso B.V.;120575;487940;0;Restaurant;1;-0,9;-0,9
Japans Restaurant An;121387;485831;0;Restaurant;1;-0,9;-0,9
La Storia Della Vita;121285;485869;0;Restaurant;1;-0,9;-0,9
Kokkie Kout Kompanie B.V.;121047;486023;0;Restaurant;1;-0,9;-0,9
The Pool Amsterdam City B.V.;122709;485297;0;Restaurant;1;-0,9;-0,9
Backbone B.V.;122621;485204;0;Restaurant;1;-0,9;-0,9
DroversDog Wibautstraat B.V.;122695;485009;0;Restaurant;1;-0,9;-0,9
The Lebanese Sajeria;120957;486876;0;Restaurant;1;-0,9;-0,9
Tetterode Horeca B.V.;119096;488346;0;Restaurant;1;-0,9;-0,9
Saigon Café Gelderlandplein;120155;482687;0;Restaurant;1;-0,9;-0,9
George W B.V.;120097;485614;0;Restaurant;1;-0,9;-0,9
Restaurant Di Bruno;119849;485474;0;Restaurant;1;-0,9;-0,9
Da Portare Via W.P.;119758;485462;0;Restaurant;1;-0,9;-0,9
African Kitchen Restaurant;127708;478763;0;Restaurant;1;-0,9;-0,9
Kyoto Japanese Cuisine B.V.;122473;489762;0;Restaurant;1;-0,9;-0,9
Meneer de wit heeft honger;119069;486492;0;Restaurant;1;-0,9;-0,9
GMT Horeca;119037;487181;0;Restaurant;1;-0,9;-0,9
DGR Hospitality B.V.;121151;489033;0;Restaurant;1;-0,9;-0,9
Golden Cock B.V.;121900;487627;0;Restaurant;1;-0,9;-0,9
Ristorante Pizzeria Santa Vergine;121876;487553;0;Restaurant;1;-0,9;-0,9
Bird Thais Restaurant;121860;487524;0;Restaurant;1;-0,9;-0,9
Wing Kee V.O.F.;121855;487514;0;Restaurant;1;-0,9;-0,9
MAXIMAS;121861;487491;0;Restaurant;1;-0,9;-0,9
China Sichuan;121849;487447;0;Restaurant;1;-0,9;-0,9
Eat Mode;121844;487434;0;Restaurant;1;-0,9;-0,9
Nam Kee;121844;487427;0;Restaurant;1;-0,9;-0,9
Chinees Restaurant Hoi Tin;121831;487395;0;Restaurant;1;-0,9;-0,9
A-Fusion Food & Drinks;121830;487375;0;Restaurant;1;-0,9;-0,9
Sukina Sushi;118770;484928;0;Restaurant;1;-0,9;-0,9
De Meijere Horeca Advies B.V.;120876;486094;0;Restaurant;1;-0,9;-0,9
Shiki Japanese Restaurant;121399;487474;0;Restaurant;1;-0,9;-0,9
Happy Italy Amsterdam B.V.;121352;483509;0;Restaurant;1;-0,9;-0,9
Cortie Horeca B.V.;119967;482228;0;Restaurant;1;-0,9;-0,9
Frenzi Restaurant;121715;486805;0;Restaurant;1;-0,9;-0,9
Restaurant V. Goghmuseum;120516;485742;7;Restaurant;1;-0,9;-0,9
Golden Sushi;118988;487177;18;Restaurant;1;-0,9;-0,9
V.O.F. Ind. Sur. Restaurant 'Moksi';121175;485470;20;Restaurant;1;-0,9;-0,9
Jottum Taberna;120709;487918;21;Restaurant;1;-0,9;-0,9
AYUMI Sushi;124279;485445;25;Restaurant;1;-0,9;-0,9
Kade West;119860;486676;25;Restaurant;1;-0,9;-0,9
Yummie Sushi/Pho House B.V.;120457;489101;28;Restaurant;1;-0,9;-0,9
Kai en Cees B.V.;120370;487314;28;Restaurant;1;-0,9;-0,9
Max 2 Euro;122018;485060;28;Restaurant;1;-0,9;-0,9
Nyonya Malaysia Express;121725;487161;30;Restaurant;1;-0,9;-0,9
Trattoria That's Amore;121253;486084;30;Restaurant;1;-0,9;-0,9
The Views B.V.;121173;487420;32;Restaurant;1;-0,9;-0,9
Cucina Casalinga;119010;484239;32;Restaurant;1;-0,9;-0,9
Birtat Restaurant;118306;487998;33;Restaurant;1;-0,9;-0,9
Biladi Samir;119148;487600;33;Restaurant;1;-0,9;-0,9
Mariam Antonio;121804;487407;33;Restaurant;1;-0,9;-0,9
V.O.F. Kam Wah;120566;487865;33;Restaurant;1;-0,9;-0,9
Dimitrio Wok B.V.;120737;486440;35;Restaurant;1;-0,9;-0,9
Tokyo Sushi Bar;117874;488104;35;Restaurant;1;-0,9;-0,9
Safak;123708;485474;35;Restaurant;1;-0,9;-0,9
Dellamore;114903;488423;35;Restaurant;1;-0,9;-0,9
Restaurant Kamasutra;121720;487582;36;Restaurant;1;-0,9;-0,9
Mina Martelaarsgracht B.V.;121553;487901;36;Restaurant;1;-0,9;-0,9
Thomas B.V.;121639;487172;36;Restaurant;1;-0,9;-0,9
The Hen House B.V.;122034;487137;36;Restaurant;1;-0,9;-0,9
Pizzeria Pastorale;120868;488500;38;Restaurant;1;-0,9;-0,9
Sushi & Asian Pro Food;118271;484976;38;Restaurant;1;-0,9;-0,9
Restaurant 'Zorba de Griek';120805;486324;38;Restaurant;1;-0,9;-0,9
Ristorante Pizzaria Il Centro;121250;487583;38;Restaurant;1;-0,9;-0,9
Olive & Cookie;121136;485435;38;Restaurant;1;-0,9;-0,9
Guts & Glory Restaurant B.V.;121643;486530;38;Restaurant;1;-0,9;-0,9
Santorini Greek Taverna;121758;485564;39;Restaurant;1;-0,9;-0,9
Amstelveld Horeca B.V.;121696;486150;39;Restaurant;1;-0,9;-0,9
L'Ulivo;123815;486985;39;Restaurant;1;-0,9;-0,9
CHEZ HUGO B.V.;120000;487567;40;Restaurant;1;-0,9;-0,9
Dellamore;114895;488417;40;Restaurant;1;-0,9;-0,9
Toeki;122681;490121;40;Restaurant;1;-0,9;-0,9
Harbour Club International B.V.;120763;484583;40;Restaurant;1;-0,9;-0,9
Jo-Sushi;120845;488265;40;Restaurant;1;-0,9;-0,9
Imperia B.V.;121509;486575;40;Restaurant;1;-0,9;-0,9
La Maschera Del Lillotatini;120558;487891;41;Restaurant;1;-0,9;-0,9
Bouchon du Centre;121576;485961;42;Restaurant;1;-0,9;-0,9
Indiaas Restaurant Namaskar;121364;488097;42;Restaurant;1;-0,9;-0,9
Warung Sranang Makmur;123589;485893;42;Restaurant;1;-0,9;-0,9
Max Eten&Drinken;120661;486193;43;Restaurant;1;-0,9;-0,9
Restaurant De Maria;121608;486540;43;Restaurant;1;-0,9;-0,9
Pizzeria San Marco;121188;484585;44;Restaurant;1;-0,9;-0,9
Phutakun;121111;486660;44;Restaurant;1;-0,9;-0,9
Pakistan/Indian Restaurant 'Mogul';121328;486982;44;Restaurant;1;-0,9;-0,9
Warie's Thai Food;120226;487271;44;Restaurant;1;-0,9;-0,9
Warung Singo;123054;485488;44;Restaurant;1;-0,9;-0,9
Caffe 500;121076;485338;45;Restaurant;1;-0,9;-0,9
Café Tapasbar Narbonne;120191;486547;45;Restaurant;1;-0,9;-0,9
Sir Hummus;120916;485075;45;Restaurant;1;-0,9;-0,9
Assaggi;120594;487786;45;Restaurant;1;-0,9;-0,9
Restaurant the Pantry;120791;486292;46;Restaurant;1;-0,9;-0,9
Ela Palermo Restaurant Pizzeria;124562;486432;46;Restaurant;1;-0,9;-0,9
Restaurant Mantoe;120518;487631;46;Restaurant;1;-0,9;-0,9
Kurio's;124832;480634;47;Restaurant;1;-0,9;-0,9
Lorenza B.V.;125236;489638;47;Restaurant;1;-0,9;-0,9
DeFour;119970;486948;47;Restaurant;1;-0,9;-0,9
Spyshuys Versch;120916;485069;47;Restaurant;1;-0,9;-0,9
Hostaria B.V.;120609;487778;47;Restaurant;1;-0,9;-0,9
Spuntino Ristorante Pizzeria;118712;484931;47;Restaurant;1;-0,9;-0,9
Restaurant 'A La Plancha';120535;486909;48;Restaurant;1;-0,9;-0,9
Salvador;118765;487159;48;Restaurant;1;-0,9;-0,9
Restaurant Bellariva;122566;487052;48;Restaurant;1;-0,9;-0,9
Kilimanjaro Restaurant;122556;487046;48;Restaurant;1;-0,9;-0,9
Chinees Orientaals Restaurant 'New Season';121726;487631;48;Restaurant;1;-0,9;-0,9
Sugoi-Sushi;120725;488251;48;Restaurant;1;-0,9;-0,9
KOH Kitchen.;127999;485631;49;Restaurant;1;-0,9;-0,9
La Maria;122306;484116;49;Restaurant;1;-0,9;-0,9
Little Saigon V.O.F.;121846;487486;49;Restaurant;1;-0,9;-0,9
Mads Amsterdam B.V.;120889;489089;49;Restaurant;1;-0,9;-0,9
Pizzeria IJburg en Spare Ribs;128441;485241;50;Restaurant;1;-0,9;-0,9
Tomaz;121187;486964;50;Restaurant;1;-0,9;-0,9
Jav. Sur. Restaurant 'Warung Spang-Makandra';121116;485394;50;Restaurant;1;-0,9;-0,9
Ristorante Due Napoletani;120871;485264;50;Restaurant;1;-0,9;-0,9
Asian King Sushibar;119480;486546;50;Restaurant;1;-0,9;-0,9
Borgers & Hernandez;121444;484234;50;Restaurant;1;-0,9;-0,9
Lunch & Diner Restaurant Spelt;121155;486466;50;Restaurant;1;-0,9;-0,9
Pizza Padrone;119884;486914;50;Restaurant;1;-0,9;-0,9
Mimoza Ton Ton;120369;487326;50;Restaurant;1;-0,9;-0,9
t Heilige Huisje;121780;486597;51;Restaurant;1;-0,9;-0,9
Restaurant Ava Cyril;121532;487899;51;Restaurant;1;-0,9;-0,9
La Piccola Trattoria;121352;487643;51;Restaurant;1;-0,9;-0,9
Thais Restaurant Kong Kha;122203;484253;51;Restaurant;1;-0,9;-0,9
Sapori Del Mondo;122629;486584;52;Restaurant;1;-0,9;-0,9
CousCous Club;121412;485129;52;Restaurant;1;-0,9;-0,9
Balthazar's Keuken;120438;486966;52;Restaurant;1;-0,9;-0,9
Raan Phad Thai 2 v/h Klaas Compaen;121733;487011;52;Restaurant;1;-0,9;-0,9
Sab-Mohami B.V.;124259;486245;52;Restaurant;1;-0,9;-0,9
Napoli Pizza Amsterdam;124253;486154;52;Restaurant;1;-0,9;-0,9
Ko Chang Thai Restaurant;120739;487953;53;Restaurant;1;-0,9;-0,9
De Hummus House B.V.;121869;487118;54;Restaurant;1;-0,9;-0,9
Konak Restaurant B.V.;117109;488131;55;Restaurant;1;-0,9;-0,9
BOTECO DO BARÃO;118440;485601;55;Restaurant;1;-0,9;-0,9
Billy Thais Restaurant;120603;486788;55;Restaurant;1;-0,9;-0,9
Pizzeria 'Lagonda';120390;487267;55;Restaurant;1;-0,9;-0,9
Pink Foodhallen B.V.;119052;485674;56;Restaurant;1;-0,9;-0,9
Restaurant Maz Mez;118968;487165;56;Restaurant;1;-0,9;-0,9
Restaurant de Struisvogel;120750;487070;56;Restaurant;1;-0,9;-0,9
Oude Zijds Horeca B.V.;121561;487290;56;Restaurant;1;-0,9;-0,9
Krua Thai' Classic;121683;486809;56;Restaurant;1;-0,9;-0,9
Restaurant MOZO;121921;485294;56;Restaurant;1;-0,9;-0,9
Saray Lokanta;121103;485390;57;Restaurant;1;-0,9;-0,9
Royal Thai;120742;486365;57;Restaurant;1;-0,9;-0,9
Songkran;120427;488056;57;Restaurant;1;-0,9;-0,9
Tom Yum Kung C.V.;123296;486892;57;Restaurant;1;-0,9;-0,9
Spaghetteria;121975;485185;57;Restaurant;1;-0,9;-0,9
Sranant Food;121986;485352;58;Restaurant;1;-0,9;-0,9
Apulia Experience;122234;486954;58;Restaurant;1;-0,9;-0,9
Indian Sky;120810;488008;58;Restaurant;1;-0,9;-0,9
Jacques Jour;121996;486029;59;Restaurant;1;-0,9;-0,9
Rakang Restaurant;120548;486984;59;Restaurant;1;-0,9;-0,9
Aries Noodles;117733;485212;59;Restaurant;1;-0,9;-0,9
Restaurant Meram;113325;489385;59;Restaurant;1;-0,9;-0,9
De Vries Jongmans & Reinders B.V.;121199;486624;59;Restaurant;1;-0,9;-0,9
Mangia Da Me B.V.;121158;487524;59;Restaurant;1;-0,9;-0,9
Via Via B.V.;121069;485308;60;Restaurant;1;-0,9;-0,9
Sushi and Saké B.V.;123636;486283;60;Restaurant;1;-0,9;-0,9
Bij Wink V.O.F.;121771;485516;60;Restaurant;1;-0,9;-0,9
Toos & Roos y Mucho Mas;120949;487036;60;Restaurant;1;-0,9;-0,9
Restaurant Paloma Blanca;119436;486065;60;Restaurant;1;-0,9;-0,9
Fenan Klein Afrika;119438;486060;60;Restaurant;1;-0,9;-0,9
Indonesisch Restaurant 'Puspita';124815;489397;60;Restaurant;1;-0,9;-0,9
Restaurant Da Antonio;121140;486672;60;Restaurant;1;-0,9;-0,9
Il Boccalino;121764;486081;60;Restaurant;1;-0,9;-0,9
Restaurant Bella Regina;121360;486565;60;Restaurant;1;-0,9;-0,9
Spaghetteria West C.V.;119524;486835;61;Restaurant;1;-0,9;-0,9
Mme Jeanette;124124;486283;61;Restaurant;1;-0,9;-0,9
Pizzeria il Palio;120787;486289;61;Restaurant;1;-0,9;-0,9
Blue Pepper;120320;486554;61;Restaurant;1;-0,9;-0,9
Ashoka Delights;121295;487700;61;Restaurant;1;-0,9;-0,9
Kratiam Thairestaurant;118677;488124;62;Restaurant;1;-0,9;-0,9
Restaurant Oké;123575;486461;62;Restaurant;1;-0,9;-0,9
Firenze Italiaans Restaurant;121539;486643;62;Restaurant;1;-0,9;-0,9
Spanjer en van Twist;120796;487680;62;Restaurant;1;-0,9;-0,9
Restaurant Habsburg;121448;487989;62;Restaurant;1;-0,9;-0,9
Marrakech Amsterdam;121968;485200;62;Restaurant;1;-0,9;-0,9
Ristorante/Pizzeria 'lo Stivale D'oro';121815;486600;63;Restaurant;1;-0,9;-0,9
Restaurant Marius;120980;489109;63;Restaurant;1;-0,9;-0,9
Restaurant Dana;121524;487610;63;Restaurant;1;-0,9;-0,9
Ristorante Pizzeria Giordano;120315;488501;63;Restaurant;1;-0,9;-0,9
Deegrollers;119345;486229;63;Restaurant;1;-0,9;-0,9
Mythos Greek Restaurant;120743;486387;63;Restaurant;1;-0,9;-0,9
Chutima's Thai Food House;121157;484214;63;Restaurant;1;-0,9;-0,9
LP HORECA;121166;485315;64;Restaurant;1;-0,9;-0,9
The Mexican II;121439;487267;64;Restaurant;1;-0,9;-0,9
Restaurant Mai Thai;120738;486323;64;Restaurant;1;-0,9;-0,9
Ricardo's Soul Food;117912;488330;64;Restaurant;1;-0,9;-0,9
Chinees-Indisch Restaurant 'Hapli';118310;488601;65;Restaurant;1;-0,9;-0,9
Rosetta's Kitchen;119883;486861;65;Restaurant;1;-0,9;-0,9
Little Saigon;121045;488359;65;Restaurant;1;-0,9;-0,9
Chez Georges;121094;487794;65;Restaurant;1;-0,9;-0,9
Thais Restaurant Pheun Thai;120869;485190;65;Restaurant;1;-0,9;-0,9
Restaurant 'Bella Italia';118596;486376;65;Restaurant;1;-0,9;-0,9
Soup&Pizza;120091;486781;65;Restaurant;1;-0,9;-0,9
Sushi House;122300;483819;65;Restaurant;1;-0,9;-0,9
Beenhakker-VanHolst;120440;489137;65;Restaurant;1;-0,9;-0,9
Himalayan Kitchen;119573;486685;65;Restaurant;1,5;-0,9;-1,35
Little Collins;121677;485440;66;Restaurant;1,5;-0,9;-1,35
Sushi House;118450;484941;66;Restaurant;1,5;-0,9;-1,35
Kai B.V.;121152;486635;66;Restaurant;1,5;-0,9;-1,35
Restaurant 'Ben Cohen';120151;487240;66;Restaurant;1,5;-0,9;-1,35
Mondial;122729;488578;66;Restaurant;1,5;-0,9;-1,35
Maenaam Thai;121217;487603;66;Restaurant;1,5;-0,9;-1,35
Renato's Osteria;121432;484961;66;Restaurant;1,5;-0,9;-1,35
Italiaans Restaurant Pizzeria Pepe;120634;487957;66;Restaurant;1,5;-0,9;-1,35
Metin's Keukennette;123041;485625;67;Restaurant;1,5;-0,9;-1,35
Restaurant Merci;118238;487330;67;Restaurant;1,5;-0,9;-1,35
Ponta Magro;122053;486312;67;Restaurant;1,5;-0,9;-1,35
Italiaans Restaurant La Madonna;121526;487932;67;Restaurant;1,5;-0,9;-1,35
Pata Boll B.V.;121208;487146;67;Restaurant;1,5;-0,9;-1,35
La Teatina;124019;485288;68;Restaurant;1,5;-0,9;-1,35
Gouden Tent Ten Kate;119548;486743;68;Restaurant;1,5;-0,9;-1,35
Soenda Kelapa Indonesisch Restaurant;121728;486235;68;Restaurant;1,5;-0,9;-1,35
Restaurant Dim Sum Court;121844;487431;68;Restaurant;1,5;-0,9;-1,35
Lale Restaurant;118314;487359;69;Restaurant;1,5;-0,9;-1,35
Feel Food;119459;486579;69;Restaurant;1,5;-0,9;-1,35
Addis Ababa Restaurant;119375;485897;69;Restaurant;1,5;-0,9;-1,35
Café La Madonnina;121510;486551;69;Restaurant;1,5;-0,9;-1,35
Sushi World;119387;484350;69;Restaurant;1,5;-0,9;-1,35
Park Brouw B.V.;123067;485580;70;Restaurant;1,5;-0,9;-1,35
Sky Food Project;121037;485087;70;Restaurant;1,5;-0,9;-1,35
De Groene Lanteerne;121370;488089;70;Restaurant;1,5;-0,9;-1,35
Ponte Arcari;121555;486413;70;Restaurant;1,5;-0,9;-1,35
Sushi Sakura;120126;486826;70;Restaurant;1,5;-0,9;-1,35
Japan Inn Yakitori;120823;486341;70;Restaurant;1,5;-0,9;-1,35
Bo-zin;117172;487586;70;Restaurant;1,5;-0,9;-1,35
Italiaans Restaurant 'Bellini';120743;481931;70;Restaurant;1,5;-0,9;-1,35
Saint Morris;121586;487247;70;Restaurant;1,5;-0,9;-1,35
Restaurant Fiorentino;120008;486146;70;Restaurant;1,5;-0,9;-1,35
Hexagone Bretagne B.V.;121168;487493;70;Restaurant;1,5;-0,9;-1,35
Havzan Restaurant;117045;488149;71;Restaurant;1,5;-0,9;-1,35
Zaagmolen;121693;485418;71;Restaurant;1,5;-0,9;-1,35
Ikura Sushibar;121091;485343;71;Restaurant;1,5;-0,9;-1,35
Samba Kitchen C.V.;121098;485099;71;Restaurant;1,5;-0,9;-1,35
De Vliegende Schotel;118699;488241;72;Restaurant;1,5;-0,9;-1,35
Balti House;121031;485323;72;Restaurant;1,5;-0,9;-1,35
Tasty Asia;121753;486600;72;Restaurant;1,5;-0,9;-1,35
Dikker B.V.;121306;485435;72;Restaurant;1,5;-0,9;-1,35
Quattro Gatti;120906;487268;72;Restaurant;1,5;-0,9;-1,35
Del Posto;121844;487397;72;Restaurant;1,5;-0,9;-1,35
Hacarmel Kosher Restaurant;118848;484922;73;Restaurant;1,5;-0,9;-1,35
Ristorante Collina;119870;487173;73;Restaurant;1,5;-0,9;-1,35
Terras voor Twee;121088;484939;73;Restaurant;1,5;-0,9;-1,35
Chinees-Indisch Restaurant 'Jang-Tse';123616;486144;73;Restaurant;1,5;-0,9;-1,35
Restaurant La Brasa;121065;488340;73;Restaurant;1,5;-0,9;-1,35
Casa Juan;120648;488144;73;Restaurant;1,5;-0,9;-1,35
Restaurant Kervan;123742;486126;74;Restaurant;1,5;-0,9;-1,35
Fromagerie Crignon/Culinair;121263;487494;74;Restaurant;1,5;-0,9;-1,35
Tasca Bellota;121064;487827;74;Restaurant;1,5;-0,9;-1,35
El Verano;121104;486662;74;Restaurant;1,5;-0,9;-1,35
Naz Food I;124705;481695;75;Restaurant;1,5;-0,9;-1,35
SOTTO Pizza I B.V.;118829;485132;75;Restaurant;1,5;-0,9;-1,35
Little Dragon Express;115042;486217;75;Restaurant;1,5;-0,9;-1,35
Restaurant Toros;114984;486199;75;Restaurant;1,5;-0,9;-1,35
Sushi One;120096;487480;75;Restaurant;1,5;-0,9;-1,35
Toko Betawi;118683;488257;76;Restaurant;1,5;-0,9;-1,35
The Labyrinth B.V.;118800;485269;76;Restaurant;1,5;-0,9;-1,35
Splinternieuw Asia;115815;484314;76;Restaurant;1,5;-0,9;-1,35
Royal Fook Long B.V.;115144;484883;76;Restaurant;1,5;-0,9;-1,35
De 2 Grieken;120934;487901;76;Restaurant;1,5;-0,9;-1,35
Golden Temple Vegetarisch Restaurant;121754;486052;76;Restaurant;1,5;-0,9;-1,35
Anmol Indiaas Restaurant;120172;486151;77;Restaurant;1,5;-0,9;-1,35
Wraps & Salads B.V.;116830;486125;77;Restaurant;1,5;-0,9;-1,35
Sushime;121047;487533;77;Restaurant;1,5;-0,9;-1,35
Garlic Queen the Restaurant;121148;486636;77;Restaurant;1,5;-0,9;-1,35
Indian Restaurant 'Koh-I-Noor';121319;487230;77;Restaurant;1,5;-0,9;-1,35
Mea Food;121529;487742;77;Restaurant;1,5;-0,9;-1,35
Indian Restaurant 'Meghna';121672;486407;77;Restaurant;1,5;-0,9;-1,35
Dikke Graaf;119161;486027;77;Restaurant;1,5;-0,9;-1,35
Restaurant Zaza's;121273;485482;78;Restaurant;1,5;-0,9;-1,35
Pizzeria en IJssalon Italia;120087;486371;78;Restaurant;1,5;-0,9;-1,35
Gurkhas Kitchen;120173;486813;78;Restaurant;1,5;-0,9;-1,35
Libanees Restaurant 'Beyrouth';120136;486828;78;Restaurant;1,5;-0,9;-1,35
Restaurant Bigshots;121292;487573;78;Restaurant;1,5;-0,9;-1,35
Enfes;115719;485277;78;Restaurant;1,5;-0,9;-1,35
Restaurant 'Een Vis Twee Vis';122622;487099;78;Restaurant;1,5;-0,9;-1,35
De Bolle Hoed B.V.;122332;485390;78;Restaurant;1,5;-0,9;-1,35
La Piccola Trattoria Da Tonino;121079;486915;79;Restaurant;1,5;-0,9;-1,35
Kantjil & de Tijger;121066;486938;79;Restaurant;1,5;-0,9;-1,35
Indiaas Restaurant Mother India;119766;487062;79;Restaurant;1,5;-0,9;-1,35
Tagore Indian Restaurant;121752;486048;79;Restaurant;1,5;-0,9;-1,35
Ivo's Kitchen;118978;486917;79;Restaurant;1,5;-0,9;-1,35
Pho 91;121207;485377;80;Restaurant;1,5;-0,9;-1,35
Saskia's Huiskamerrestaurant;121507;485473;80;Restaurant;1,5;-0,9;-1,35
Brut de Mer B.V.;121301;485434;80;Restaurant;1,5;-0,9;-1,35
Turks Cafe/Restaurant Derya;124071;486276;80;Restaurant;1,5;-0,9;-1,35
La Fucina;124272;486318;80;Restaurant;1,5;-0,9;-1,35
H'Baron;120347;482148;80;Restaurant;1,5;-0,9;-1,35
Barceloneta Gastro;119500;486553;80;Restaurant;1,5;-0,9;-1,35
Bombay Inn;120644;486475;80;Restaurant;1,5;-0,9;-1,35
Familie Vlaming v.o.f.;120778;488140;80;Restaurant;1,5;-0,9;-1,35
Pizzeria 'San Remo';122790;489443;80;Restaurant;1,5;-0,9;-1,35
Pakistan Restaurant;121159;484243;80;Restaurant;1,5;-0,9;-1,35
Restaurant Quartier Latin;121696;486378;80;Restaurant;1,5;-0,9;-1,35
La Buleria;124576;485740;80;Restaurant;1,5;-0,9;-1,35
Restaurant Revan;122029;484871;80;Restaurant;1,5;-0,9;-1,35
Michel-inn;123370;485362;81;Restaurant;1,5;-0,9;-1,35
Restaurant Baan Thai;118824;485158;82;Restaurant;1,5;-0,9;-1,35
Tapas & Raciones;119539;486711;82;Restaurant;1,5;-0,9;-1,35
Amici Miei B.V. i.o.;121118;485101;82;Restaurant;1,5;-0,9;-1,35
Porto Marina;119124;486400;82;Restaurant;1,5;-0,9;-1,35
Eatmosfera;121482;486582;82;Restaurant;1,5;-0,9;-1,35
Il Cavallino;121499;484270;82;Restaurant;1,5;-0,9;-1,35
Restaurant SenT;121055;485441;82;Restaurant;1,5;-0,9;-1,35
Restaurant Bark Amsterdam B.V.;120473;485373;82;Restaurant;1,5;-0,9;-1,35
Yogya;116820;485896;83;Restaurant;1,5;-0,9;-1,35
El Shygh;123312;485260;83;Restaurant;1,5;-0,9;-1,35
Buffet van Odette;121067;486162;83;Restaurant;1,5;-0,9;-1,35
Stadsproeverij;121696;486374;83;Restaurant;1,5;-0,9;-1,35
Van Vlaanderen Restaurant;121298;485867;83;Restaurant;1,5;-0,9;-1,35
Splendid B.V.;120106;482611;83;Restaurant;1,5;-0,9;-1,35
La Trattoria Di Donna Sofia;120566;487849;84;Restaurant;1,5;-0,9;-1,35
Trattoria 'Pastini';120771;486644;84;Restaurant;1,5;-0,9;-1,35
De Aardige Pers;120072;487491;84;Restaurant;1,5;-0,9;-1,35
La Mancha;121238;486630;85;Restaurant;1,5;-0,9;-1,35
Prego Restaurant;121049;487819;85;Restaurant;1,5;-0,9;-1,35
Man'Oushi B.V.;120148;486835;85;Restaurant;1,5;-0,9;-1,35
La Falote;120697;485052;85;Restaurant;1,5;-0,9;-1,35
Chin.-Sur. Special.restaur. 'Long Chie';120352;488395;85;Restaurant;1,5;-0,9;-1,35
Obalade Delicious Suya B.V.;125587;480007;86;Restaurant;1,5;-0,9;-1,35
Las Marias;121372;488112;86;Restaurant;1,5;-0,9;-1,35
Mangiassai;122452;485583;86;Restaurant;1,5;-0,9;-1,35
MAX Company Amsterdam B.V.;121081;487817;87;Restaurant;1,5;-0,9;-1,35
Thais Restaurant Suvarnaphum;116833;485335;87;Restaurant;1,5;-0,9;-1,35
Reuring B.V.;121646;484901;87;Restaurant;1,5;-0,9;-1,35
Restaurant Forno;119085;485895;87;Restaurant;1,5;-0,9;-1,35
Tashi Deleg;121716;486290;87;Restaurant;1,5;-0,9;-1,35
Spoon Original B.V.;119013;482200;88;Restaurant;1,5;-0,9;-1,35
San Cirillo;121655;487150;88;Restaurant;1,5;-0,9;-1,35
Roem;120732;487700;88;Restaurant;1,5;-0,9;-1,35
Italiaans Restaurant La Madonnina;121510;486556;88;Restaurant;1,5;-0,9;-1,35
CC Cheung B.V.;125498;480840;89;Restaurant;1,5;-0,9;-1,35
Flevor;125144;486178;89;Restaurant;1,5;-0,9;-1,35
Restaurant Wong Kee;124666;490116;90;Restaurant;1,5;-0,9;-1,35
Café Burito Mexicaans Restaurant;120001;487222;90;Restaurant;1,5;-0,9;-1,35
Restaurant Dwars B.V.;120752;487815;90;Restaurant;1,5;-0,9;-1,35
Eazie Ferdinand Bol B.V.;121164;485580;90;Restaurant;1,5;-0,9;-1,35
Na Siam;121693;486205;90;Restaurant;1,5;-0,9;-1,35
Porto Carrara;120811;486286;90;Restaurant;1,5;-0,9;-1,35
Singel 101 restaurant;121231;487670;90;Restaurant;1,5;-0,9;-1,35
